Regioes E Unidades Federadas,Total acumulado de casos notificados de 2015 a 2016,,"Casos notificados de Microcefalia e/ou Alteracoes do SNC, sugestivos de infeccao congenita, em fetos, abortamentos, natimortos ou recem-nascidos",,
,N,%,Permanecem em investigacao,Investigados e confirmados,Investigados e descartados
Brasil,9645,100,3031,1989,4625
Alagoas,346,3.6,52,84,210
Bahia*,1354,14,695,316,343
Ceará,583,6,142,142,299
Maranhão,304,3.2,75,155,74
Paraíba,903,9.4,186,168,549
Pernambuco,2142,22.2,355,388,1399
Piauí,188,1.9,7,99,82
Rio Grande do Norte,464,4.8,132,138,194
Sergipe,261,2.7,60,124,77
Espírito Santo,229,2.4,123,27,79
Minas Gerais,177,1.8,103,8,66
Rio de Janeiro,743,7.7,368,130,245
São Paulo,696,7.2,308,28,360
Acre,49,0.5,17,2,30
Amapá,16,0.2,3,9,4
Amazonas,38,0.4,9,17,12
Pará,99,1,88,1,10
Rondônia,25,0.3,7,7,11
Roraima,30,0.3,7,10,13
Tocantins,199,2.1,73,18,108
Distrito Federal,55,0.6,3,8,44
Goiás,186,1.9,51,24,111
Mato Grosso,311,3.2,108,48,155
Mato Grosso do Sul,46,0.5,7,20,19
Paraná,49,0.5,6,4,39
Santa Catarina,13,0.1,1,4,8
Rio Grande do Sul,139,1.4,45,10,84
