Regioes E Unidades Federadas,Total acumulado de casos notificados de 2015 a 2016,,"Casos notificados de Microcefalia e/ou Alteracoes do SNC, sugestivos de infeccao congenita, em fetos, abortamentos, natimortos ou recem-nascidos",,
,N,%,Permanecem em investigacao,Investigados e confirmados,Investigados e descartados
Brasil,8890,100,2978,1806,4106
Alagoas,331,"3,7",54,81,196
Bahia,1242,"14,0",647,287,308
Ceará,554,"6,2",151,136,267
Maranhão,295,"3,3",99,134,62
Paraíba,899,"10,1",211,159,529
Pernambuco,2094,"23,6",399,376,1319
Piauí,181,"2,0",11,93,77
Rio Grande do Norte,453,"5,1",158,131,164
Sergipe,254,"2,9",73,120,61
Espírito Santo,188,"2,1",99,21,68
Minas Gerais,145,"1,6",77,5,63
Rio de Janeiro,630,"7,1",312,108,210
São Paulo,581,"6,5",340,12,229
Acre,46,"0,5",14,2,30
Amapá,13,"0,1",0,9,4
Amazonas,26,"0,3",13,8,5
Pará,59,"0,7",58,1,0
Rondônia,22,"0,2",5,5,12
Roraima,27,"0,3",4,10,13
Tocantins,176,"2,0",69,17,90
Distrito Federal,51,"0,6",6,6,39
Goiás,159,"1,8",39,17,103
Mato Grosso,272,"3,1",96,45,131
Mato Grosso do Sul,34,"0,4",8,10,16
Paraná,41,"0,5",0,4,37
Santa Catarina,11,"0,1",1,2,8
Rio Grande do Sul,106,"1,2",34,7,65
