Unidade da Federação,Microcefalia com suspeita de infecção pelo vírus Zika,,,,Total de municípios com casos notificados (n)
,CASOS,CASOS,ÓBITOS,ÓBITOS,,N,%,N,%,
Brasil,3.53,100,46,100,724
Alagoas,149,"4,22",---,---,52
Bahia,450,"12,75",10,"21,74",83
Ceará,192,"5,44",1,"2,17",48
Maranhão,119,"3,37",1,"2,17",52
Paraíba,569,"16,12",10,"21,74",104
Pernambuco,1.236,"35,01",6,"13,04",152
Piauí,62,"1,76",1,"2,17",25
Rio Grande do Norte,181,"5,13",12,"26,09",48
Sergipe,155,"4,39",5,"10,87",41
Espírito Santo,32,"0,91",---,---,11
Minas Gerais,19,"0,54",---,---,15
Rio de Janeiro,122,"3,46",---,---,21
São Paulo,17,"0,48",---,---,10
Acre,Sem registros,---,---,---,---
Amapá,Sem registros,---,---,---,---
Amazonas,Sem registros,---,---,---,---
Pará,6,"0,17",---,---,4
Rondônia,Sem registros,---,---,---,---
Roraima,1,"0,03",---,---,1
Tocantins,75,"2,12",---,---,32
Distrito Federal,5,"0,14",---,---,1
Goiás,7,"0,20",---,---,7
Mato Grosso,129,"3,65",---,---,14
Mato Grosso do Sul,3,"0,08",---,---,2
Paraná,Sem registros,---,---,---,---
Santa Catarina,Sem registros,---,---,---,---
Rio Grande do Sul,1,"0,03",---,---,1
