Regioes E Unidades Federadas,Total acumulado de casos notificados de 2015 a 2016,,"Casos notificados de Microcefalia e/ou Alteracoes do SNC, sugestivos de infeccao congenita, em fetos, abortamentos, natimortos ou recem-nascidos",,
,N,%,Permanecem em investigacao,Investigados e confirmados,Investigados e descartados
Brasil,7343,100,3580,1271,2492
Alagoas,285,3.9,82,59,144
Bahia,1061,14.4,645,232,184
Ceará,468,6.4,241,84,143
Maranhão,250,3.4,92,115,43
Paraíba,868,11.8,379,115,374
Pernambuco,1912,26,653,339,920
Piauí,160,2.2,23,75,62
Rio Grande do Norte,418,5.7,283,96,39
Sergipe,213,2.9,146,37,30
Espírito Santo,134,1.8,93,8,33
Minas Gerais,103,1.4,45,3,55
Rio de Janeiro,429,5.8,297,44,88
São Paulo,273,3.7,163,8,102
Acre,37,0.5,20,0,17
Amapá,9,0.1,4,4,1
Amazonas,18,0.2,10,4,4
Pará,28,0.4,27,1,0
Rondônia,13,0.2,5,3,5
Roraima,22,0.3,21,1,0
Tocantins,138,1.9,118,3,17
Distrito Federal,37,0.5,0,5,32
Goiás,130,1.8,73,12,45
Mato Grosso,212,2.9,120,15,77
Mato Grosso do Sul,18,0.2,2,2,14
Paraná,33,0.4,5,4,24
Santa Catarina,5,0.1,2,0,3
Rio Grande do Sul,69,0.9,31,2,36
