Regioes E Unidades Federadas,Total acumulado de casos notificados de 2015 a 2016,,Casos notificados de Microcefalia e/ou Alteracoes do SNC. sugestivos de infeccao congenita. em fetos. abortamentos. natimortos ou recem-nascidos,,
,N,%,Permanecem em investigacao,Investigados e confirmados,Investigados e descartados
Brasil,6671,100,4293,907,1471
Alagoas,250,"3,7",103,41,106
Bahia,960,"14,4",670,170,120
Ceará,417,"6,3",249,68,100
Maranhão,230,"3,4",146,53,31
Paraíba,842,"12,6",417,91,334
Pernambuco,1819,"27,3",1210,268,341
Piauí,145,"2,2",52,62,31
Rio Grande do Norte,406,"6,1",290,81,35
Sergipe,201,"3,0",161,26,14
Espírito Santo,107,"1,6",85,4,18
Minas Gerais,75,"1,1",29,2,44
Rio de Janeiro,337,"5,1",308,9,20
São Paulo,210,"3,1",150,0,60
Acre,29,"0,4",28,0,1
Amapá,Sem registros,Sem registros,Sem registros,Sem registros,Sem registros
Amazonas,10,"0,1",9,0,1
Pará,21,"0,3",20,1,0
Rondônia,11,"0,2",4,3,4
Roraima,16,"0,2",16,0,0
Tocantins,134,"2,0",117,0,17
Distrito Federal,37,"0,6",3,3,31
Goiás,118,"1,8",83,9,26
Mato Grosso,194,"2,9",110,13,71
Mato Grosso do Sul,17,"0,3",4,2,11
Paraná,28,"0,4",4,0,24
Santa Catarina,3,"0,0",1,0,2
Rio Grande do Sul,54,"0,8",24,1,29
