Regioes E Unidades Federadas,Total acumulado de casos notificados de 2015 a 2016,,"Casos notificados de Microcefalia e/ou Alteracoes do SNC, sugestivos de infeccao congenita, em fetos, abortamentos, natimortos ou recem-nascidos",,,
,N,%,Permanecem em investigacao,Investigados e confirmados,Investigados e descartados,
Brasil,10199,100,3115,2159,4925,1
Alagoas,358,3.5,54,84,220,2
Bahia,1398,13.7,684,349,365,3
Ceará,612,6,132,150,330,4
Maranhão,322,3.2,78,159,85,5
Paraíba,925,9.1,178,188,559,6
Pernambuco,2179,21.4,344,394,1441,7
Piauí,193,1.9,9,100,84,8
Rio Grande do Norte,480,4.7,137,141,202,9
Sergipe,269,2.6,57,128,84,
Espírito Santo,246,2.4,101,31,114,11
Minas Gerais,201,2,121,12,68,12
Rio de Janeiro,805,7.9,392,149,264,13
São Paulo,794,7.8,322,53,419,
Acre,53,0.5,19,2,32,15
Amapá,16,0.2,3,9,4,16
Amazonas,50,0.5,15,22,13,17
Pará,110,1.1,90,9,11,18
Rondônia,39,0.4,21,7,11,19
Roraima,31,0.3,4,13,14,20
Tocantins,222,2.2,87,19,116,
Distrito Federal,63,0.6,8,10,45,22
Goiás,219,2.1,72,34,113,23
Mato Grosso,337,3.3,133,48,156,24
Mato Grosso do Sul,54,0.5,9,25,20,
Paraná,49,0.5,4,5,40,26
Santa Catarina,16,0.2,1,6,9,27
Rio Grande do Sul,158,1.5,40,12,106,
