Regioes E Unidades Federadas,Total acumulado de casos notificados de 2015 a 2016,,"Casos notificados de Microcefalia e/ou Alteracoes do SNC, sugestivos de infeccao congenita, em fetos, abortamentos, natimortos ou recem-nascidos",,
,N,%,Permanecem em investigacao,Investigados e confirmados,Investigados e descartados
Brasil,9862,100,3035,2063,4764
Alagoas,354,3.6,55,84,215
Bahia,1359,13.8,684,323,352
Ceará,596,6,123,150,323
Maranhão,316,3.2,76,158,82
Paraíba,917,9.3,185,182,550
Pernambuco,2155,21.9,352,390,1413
Piauí,190,1.9,8,99,83
Rio Grande do Norte,469,4.8,128,140,201
Sergipe,267,2.7,60,124,83
Espírito Santo,239,2.4,125,31,83
Minas Gerais,187,1.9,112,9,66
Rio de Janeiro,771,7.8,380,135,256
São Paulo,727,7.4,289,44,394
Acre,49,0.5,17,2,30
Amapá,16,0.2,3,9,4
Amazonas,41,0.4,8,20,13
Pará,106,1.1,95,1,10
Rondônia,29,0.3,10,8,11
Roraima,30,0.3,7,10,13
Tocantins,215,2.2,87,18,110
Distrito Federal,56,0.6,4,9,43
Goiás,194,2,53,29,112
Mato Grosso,320,3.2,118,48,154
Mato Grosso do Sul,49,0.5,9,21,19
Paraná,49,0.5,6,4,39
Santa Catarina,14,0.1,1,4,9
Rio Grande do Sul,147,1.5,40,11,96
