Regioes E Unidades Federadas,Total acumulado de casos notificados de 2015 a 2016,,"Casos notificados de Microcefalia e/ou Alteracoes do SNC, sugestivos de infeccao congenita, em fetos, abortamentos, natimortos ou recem-nascidos",,
,N,%,Permanecem em investigacao,Investigados e confirmados,Investigados e descartados
Brasil,7015,100,3836,1113,2066
Alagoas,265,3.8,74,55,136
Bahia,1014,14.5,667,203,144
Ceará,451,6.4,254,80,117
Maranhão,238,3.4,112,84,42
Paraíba,857,12.2,388,105,364
Pernambuco,1849,26.4,873,312,664
Piauí,154,2.2,25,72,57
Rio Grande do Norte,414,5.9,295,85,34
Sergipe,207,3,159,31,17
Espírito Santo,121,1.7,96,6,19
Minas Gerais,79,1.1,31,2,46
Rio de Janeiro,394,5.6,281,35,78
São Paulo,259,3.7,163,0,96
Acre,35,0.5,23,0,12
Amapá,5,0.1,2,3,0
Amazonas,13,0.2,9,2,2
Pará,24,0.3,23,1,0
Rondônia,12,0.2,4,3,5
Roraima,16,0.2,16,0,0
Tocantins,134,1.9,117,0,17
Distrito Federal,37,0.5,2,4,31
Goiás,121,1.7,75,9,37
Mato Grosso,202,2.9,116,15,71
Mato Grosso do Sul,18,0.3,3,2,13
Paraná,33,0.5,6,2,25
Santa Catarina,4,0.1,1,0,3
Rio Grande do Sul,59,0.8,21,2,36
