Regioes E Unidades Federadas,Total acumulado de casos notificados de 2015 a 2016,,"Casos notificados de Microcefalia e/ou Alteracoes do SNC, sugestivos de infeccao congenita, em fetos, abortamentos, natimortos ou recem-nascidos",,
,N,%,Permanecem em investigacao,Investigados e confirmados,Investigados e descartados
Brasil,9953,100,3077,2079,4797
Alagoas,354,3.6,55,84,215
Bahia,1364,13.7,687,326,351
Ceará,599,6,123,150,326
Maranhão,321,3.2,81,158,82
Paraíba,917,9.2,184,182,551
Pernambuco,2159,21.7,350,392,1417
Piauí,190,1.9,8,99,83
Rio Grande do Norte,473,4.8,130,142,201
Sergipe,268,2.7,61,124,83
Espírito Santo,241,2.4,118,29,94
Minas Gerais,193,1.9,116,10,67
Rio de Janeiro,786,7.9,389,140,257
São Paulo,755,7.6,311,46,398
Acre,49,0.5,17,2,30
Amapá,16,0.2,3,9,4
Amazonas,44,0.4,11,21,12
Pará,106,1.1,95,1,10
Rondônia,33,0.3,14,8,11
Roraima,31,0.3,8,10,13
Tocantins,215,2.2,80,19,116
Distrito Federal,57,0.6,5,9,43
Goiás,194,1.9,53,29,112
Mato Grosso,324,3.3,122,48,154
Mato Grosso do Sul,51,0.5,11,21,19
Paraná,49,0.5,6,4,39
Santa Catarina,14,0.1,1,4,9
Rio Grande do Sul,150,1.5,38,12,100
