Regioes E Unidades Federadas,Total acumulado de casos notificados de 2015 a 2016,,"Casos notificados de Microcefalia e/ou Alteracoes do SNC, sugestivos de infeccao congenita, em fetos, abortamentos, natimortos ou recem-nascidos",,
,N,%,Permanecem em investigacao,Investigados e confirmados,Investigados e descartados
Brasil,7150,100,3741,1168,2241
Alagoas,275,3.8,84,55,136
Bahia,1040,14.5,647,219,174
Ceará,452,6.3,254,81,117
Maranhão,240,3.4,108,90,42
Paraíba,862,12.1,389,109,364
Pernambuco,1871,26.2,760,333,778
Piauí,154,2.2,21,73,60
Rio Grande do Norte,417,5.8,297,86,34
Sergipe,209,2.9,161,31,17
Espírito Santo,130,1.8,99,7,24
Minas Gerais,92,1.3,40,2,50
Rio de Janeiro,412,5.8,294,36,82
São Paulo,267,3.7,160,0,107
Acre,35,0.5,23,0,12
Amapá,7,0.1,2,4,1
Amazonas,14,0.2,8,4,2
Pará,24,0.3,23,1,0
Rondônia,12,0.2,4,3,5
Roraima,21,0.3,21,0,0
Tocantins,133,1.9,114,0,19
Distrito Federal,37,0.5,2,4,31
Goiás,126,1.8,80,9,37
Mato Grosso,202,2.8,116,15,71
Mato Grosso do Sul,18,0.3,2,2,14
Paraná,33,0.5,6,2,25
Santa Catarina,5,0.1,2,0,3
Rio Grande do Sul,62,0.9,24,2,36
