Regioes E Unidades Federadas,Total acumulado de casos notificados de 2015 a 2016,,"Casos notificados de Microcefalia e/ou Alteracoes do SNC, sugestivos de infeccao congenita, em fetos, abortamentos, natimortos ou recem-nascidos",,
,N,%,Permanecem em investigacao,Investigados e confirmados,Investigados e descartados
Brasil,9289,100,2989,1888,4412
Alagoas,341,3.7,53,84,204
Bahia,1268,13.7,642,299,327
Ceará,567,6.1,155,138,274
Maranhão,303,3.3,97,138,68
Paraíba,902,9.7,198,163,541
Pernambuco,2120,22.8,360,378,1382
Piauí,188,2,13,95,80
Rio Grande do Norte,455,4.9,127,137,191
Sergipe,256,2.8,61,121,74
Espírito Santo,216,2.3,123,22,71
Minas Gerais,153,1.6,80,7,66
Rio de Janeiro,708,7.6,349,122,237
São Paulo,643,6.9,311,17,315
Acre,48,0.5,16,2,30
Amapá,13,0.1,0,9,4
Amazonas,32,0.3,15,9,8
Pará,75,0.8,74,1,0
Rondônia,25,0.3,7,7,11
Roraima,30,0.3,7,10,13
Tocantins,193,2.1,84,17,92
Distrito Federal,55,0.6,3,8,44
Goiás,175,1.9,44,23,108
Mato Grosso,296,3.2,115,47,134
Mato Grosso do Sul,44,0.5,11,16,17
Paraná,47,0.5,4,4,39
Santa Catarina,13,0.1,1,4,8
Rio Grande do Sul,123,1.3,39,10,74
