Regioes E Unidades Federadas,Total acumulado de casos notificados de 2015 a 2016,,"Casos notificados de Microcefalia e/ou Alteracoes do SNC, sugestivos de infeccao congenita, em fetos, abortamentos, natimortos ou recem-nascidos",,
,N,%,Permanecem em investigacao,Investigados e confirmados,Investigados e descartados
Brasil,9711,100,3023,2001,4687
Alagoas,349,3.6,54,84,211
Bahia,1356,14,691,317,348
Ceará,583,6,130,143,310
Maranhão,305,3.1,76,154,75
Paraíba,906,9.3,184,170,552
Pernambuco,2146,22.1,346,388,1412
Piauí,188,1.9,7,99,82
Rio Grande do Norte,466,4.8,127,139,200
Sergipe,263,2.7,58,124,81
Espírito Santo,233,2.4,125,28,80
Minas Gerais,180,1.9,106,8,66
Rio de Janeiro,749,7.7,374,130,245
São Paulo,714,7.4,316,31,367
Acre,49,0.5,17,2,30
Amapá,16,0.2,3,9,4
Amazonas,39,0.4,8,18,13
Pará,100,1,89,1,10
Rondônia,25,0.3,7,7,11
Roraima,30,0.3,7,10,13
Tocantins,203,2.1,75,18,110
Distrito Federal,55,0.6,3,9,43
Goiás,189,1.9,54,24,111
Mato Grosso,314,3.2,111,48,155
Mato Grosso do Sul,47,0.5,7,21,19
Paraná,49,0.5,6,4,39
Santa Catarina,14,0.1,1,4,9
Rio Grande do Sul,143,1.5,41,11,91
