Regioes E Unidades Federadas,Total acumulado de casos notificados de 2015 a 2016,,"Casos notificados de Microcefalia e/ou Alteracoes do SNC, sugestivos de infeccao congenita, em fetos, abortamentos, natimortos ou recem-nascidos",,
,N,%,Permanecem em investigacao,Investigados e confirmados,Investigados e descartados
Brasil,8571,100,3182,1709,3680
Alagoas,331,3.9,63,79,189
Bahia,1205,14.1,668,277,260
Ceará,536,6.3,168,129,239
Maranhão,285,3.3,90,133,62
Paraíba,893,10.4,259,148,486
Pernambuco,2061,24,513,371,1177
Piauí,177,2.1,14,89,74
Rio Grande do Norte,447,5.2,201,123,123
Sergipe,249,2.9,75,117,57
Espírito Santo,170,2,80,21,69
Minas Gerais,132,1.5,69,3,60
Rio de Janeiro,578,6.7,316,87,175
São Paulo,548,6.4,352,10,186
Acre,41,0.5,9,2,30
Amapá,12,0.1,1,7,4
Amazonas,25,0.3,12,8,5
Pará,47,0.5,46,1,0
Rondônia,18,0.2,4,5,9
Roraima,27,0.3,6,10,11
Tocantins,166,1.9,61,17,88
Distrito Federal,47,0.5,2,6,39
Goiás,148,1.7,40,15,93
Mato Grosso,252,2.9,91,35,126
Mato Grosso do Sul,27,0.3,8,5,14
Paraná,41,0.5,0,4,37
Santa Catarina,9,0.1,3,1,5
Rio Grande do Sul,99,1.2,31,6,62
