Regioes E Unidades Federadas,Casos notificados de Microcefalia e/ou Alteracoes do SNC. sugestivos de infeccao congenita. em fetos. abortamentos. natimortos ou recem-nascidos,,,
,Permanecem em investigacao,Investigados e confirmados,Investigados e descartados,Total acumulado de casos notificados de 2015 a 2016
Brasil,3852,462,765,5079
Alagoas,103,21,67,191
Bahia,546,101,54,701
Ceará,254,11,10,275
Maranhão,150,0,16,166
Paraíba,427,54,275,756
Pernambuco,1196,167,138,1501
Piauí,70,29,12,111
Rio Grande do Norte,201,70,16,287
Sergipe,173,0,7,180
Espírito Santo,54,3,3,60
Minas Gerais,21,0,39,60
Rio de Janeiro,214,2,4,220
São Paulo,111,0,29,140
Acre,22,0,0,22
Amapá,Sem registros,Sem registros,Sem registros,Sem registros
Amazonas,Sem registros,Sem registros,Sem registros,Sem registros
Pará,10,1,0,11
Rondônia,1,0,0,1
Roraima,7,0,0,7
Tocantins,86,0,17,103
Distrito Federal,6,0,17,23
Goiás,73,1,0,74
Mato Grosso,121,0,46,167
Mato Grosso do Sul,5,1,5,11
Paraná,1,0,9,10
Santa Catarina,0,0,1,1
Rio Grande do Sul,0,1,0,1
