Regioes E Unidades Federadas,Total acumulado de casos notificados de 2015 a 2016,,Casos notificados de Microcefalia e/ou Alteracoes do SNC. sugestivos de infeccao congenita. em fetos. abortamentos. natimortos ou recem-nascidos,,
,N,%,Permanecem em investigacao,Investigados e confirmados,Investigados e descartados
Brasil,6776,100,4291,944,1541
Alagoas,251,3.7,95,50,106
Bahia,972,14.3,676,176,120
Ceará,426,6.3,240,73,113
Maranhão,233,3.4,148,55,30
Paraíba,847,12.5,412,95,340
Pernambuco,1829,27,1207,273,349
Piauí,148,2.2,47,64,37
Rio Grande do Norte,407,6,289,83,35
Sergipe,202,3,162,26,14
Espírito Santo,109,1.6,87,4,18
Minas Gerais,76,1.1,28,2,46
Rio de Janeiro,351,5.2,322,9,20
São Paulo,247,3.6,157,5,0
Acre,29,0.4,28,0,1
Amapá,Sem registros,Sem registros,Sem registros,Sem registros,Sem registros
Amazonas,11,0.2,9,1,1
Pará,21,0.3,20,1,0
Rondônia,11,0.2,4,3,4
Roraima,16,0.2,16,0,0
Tocantins,132,1.9,115,0,17
Distrito Federal,37,0.5,2,3,32
Goiás,119,1.8,80,9,30
Mato Grosso,197,2.9,113,13,71
Mato Grosso do Sul,17,0.3,4,2,11
Paraná,29,0.4,4,1,24
Santa Catarina,3,0,1,0,2
Rio Grande do Sul,56,0.8,25,1,30
