Regioes E Unidades Federadas,Total acumulado de casos notificados de 2015 a 2016,,"Casos notificados de Microcefalia e/ou Alteracoes do SNC, sugestivos de infeccao congenita, em fetos, abortamentos, natimortos ou recem-nascidos",,,
,N,%,Permanecem em investigacao,Investigados e confirmados,Investigados e provaveis,Investigados e descartados
BRASIL,"10,867",100,"3,183","2,366",49,"5,269"
ALAGOAS,376,3.5,51,90,0,235
BAHIA,"1,534",14.1,611,433,2,488
CEARÁ,642,5.9,153,152,0,337
MARANHÃO,328,3,83,160,0,85
PARAÍBA,933,8.6,180,191,3,559
PERNAMBUCO,"2,259",20.8,325,408,0,"1,526"
PIAUÍ,200,1.8,12,100,0,88
RIO GRANDE DO NORTE,481,4.4,107,142,0,232
SERGIPE,270,2.5,58,128,0,84
ESPÍRITO SANTO,265,2.4,98,36,9,122
MINAS GERAIS,303,2.8,260,19,0,24
RIO DE JANEIRO,861,7.9,399,179,0,283
SÃO PAULO,895,8.2,343,64,35,453
ACRE,52,0.5,13,2,0,37
AMAPÁ,18,0.2,2,11,0,5
AMAZONAS,63,0.6,23,26,0,14
PARÁ,115,1.1,95,8,0,12
RONDÔNIA,46,0.4,17,12,0,17
RORAIMA,32,0.3,5,13,0,14
TOCANTINS,224,2.1,84,20,0,120
DISTRITO FEDERAL,70,0.6,6,13,0,51
GOIÁS,239,2.2,73,47,0,119
MATO GROSSO,351,3.2,135,57,0,159
MATO GROSSO DO SUL,56,0.5,6,28,0,22
PARANÁ,56,0.5,8,3,0,45
RIO GRANDE DO SUL,181,1.7,34,18,0,129
SANTA CATARINA,17,0.2,2,6,0,9
