Regioes E Unidades Federadas,Total acumulado de casos notificados de 2015 a 2016,,"Casos notificados de Microcefalia e/ou Alteracoes do SNC, sugestivos de infeccao congenita, em fetos, abortamentos, natimortos ou recem-nascidos",,
,N,%,Permanecem em investigacao,Investigados e confirmados,Investigados e descartados
Brasil,10039,100,3091,2106,4842
Alagoas,354,3.5,51,84,219
Bahia,1371,13.7,687,332,352
Ceará,601,6,122,150,329
Maranhão,321,3.2,81,158,82
Paraíba,922,9.2,180,184,558
Pernambuco,2163,21.5,346,392,1425
Piauí,191,1.9,9,99,83
Rio Grande do Norte,473,4.7,130,142,201
Sergipe,269,2.7,57,128,84
Espírito Santo,243,2.4,117,29,97
Minas Gerais,196,2,119,10,67
Rio de Janeiro,796,7.9,387,145,264
São Paulo,769,7.7,317,48,404
Acre,49,0.5,17,2,30
Amapá,16,0.2,3,9,4
Amazonas,48,0.5,14,21,13
Pará,109,1.1,89,9,11
Rondônia,35,0.3,17,7*,11
Roraima,31,0.3,8,10,13
Tocantins,216,2.2,81,19,116
Distrito Federal,60,0.6,5,10,45
Goiás*,212,2.1,71,29,112
Mato Grosso,327,3.3,125,48,154
Mato Grosso do Sul,51,0.5,11,21,19
Paraná,49,0.5,5,4,40
Santa Catarina,14,0.1,1,4,9
Rio Grande do Sul,153,1.5,41,12,100
