Regioes E Unidades Federadas,Total acumulado de casos notificados de 2015 a 2016,,"Casos notificados de Microcefalia e/ou Alteracoes do SNC, sugestivos de infeccao congenita, em fetos, abortamentos, natimortos ou recem-nascidos",,
,N,%,Permanecem em investigacao,Investigados e confirmados,Investigados e descartados
Brasil,10441,100,3173,2228,5040
Alagoas,358,3.4,45,86,227
Bahia,1418,13.6,693,356,369
Ceará,624,6,140,150,334
Maranhão,324,3.1,79,160,85
Paraíba,927,8.9,179,189,559
Pernambuco,2224,21.3,342,399,1483
Piauí,197,1.9,10,101,86
Rio Grande do Norte,482,4.6,136,142,204
Sergipe,269,2.6,55,128,86
Espírito Santo,262,2.5,98,43,121
Minas Gerais,216,2.1,133,15,68
Rio de Janeiro,837,8,400,164,273
São Paulo,837,8,352,55,430
Acre,55,0.5,21,2,32
Amapá,18,0.2,2,10,6
Amazonas,51,0.5,15,23,13
Pará,115,1.1,94,9,12
Rondônia,41,0.4,22,7,12
Roraima,32,0.3,5,13,14
Tocantins,223,2.1,88,19,116
Distrito Federal,68,0.7,8,12,48
Goiás,227,2.2,65,44,118
Mato Grosso,344,3.3,138,49,157
Mato Grosso do Sul,55,0.5,9,25,21
Paraná,49,0.5,4,5,40
Santa Catarina,16,0.2,1,6,9
Rio Grande do Sul,172,1.6,39,16,117
