"UF de notificação";"Jan";"Fev";"Mar";"Abr";"Mai";"Jun";"Jul";"Ago";"Set";"Out";"Nov";"Dez";"Total"
"11 Rondônia";2;3;2;3;6;4;2;2;5;6;17;23;75
"12 Acre";6;3;1;1;-;-;1;-;-;-;-;1;13
"13 Amazonas";13;13;11;5;10;3;1;3;-;1;-;5;65
"14 Roraima";11;15;8;1;4;1;-;5;2;1;-;2;50
"15 Pará";8;16;21;14;4;4;2;2;1;-;1;2;75
"16 Amapá";-;1;-;-;-;-;-;-;-;-;-;-;1
"17 Tocantins";1;2;1;2;1;2;1;-;-;-;-;-;10
"21 Maranhão";-;1;-;-;1;1;-;-;-;-;1;-;4
"22 Piauí";-;2;2;1;2;1;-;-;-;-;-;1;9
"23 Ceará";1;3;-;1;2;-;1;1;-;-;-;-;9
"24 Rio Grande do Norte";4;1;-;4;2;2;2;3;1;-;-;-;19
"25 Paraíba";-;-;2;-;-;-;-;-;1;-;-;-;3
"26 Pernambuco";-;1;-;-;-;-;2;-;-;-;-;-;3
"27 Alagoas";-;-;5;3;-;2;4;2;-;2;1;-;19
"28 Sergipe";-;3;9;4;4;1;3;-;-;-;-;-;24
"29 Bahia";44;71;92;59;32;14;5;3;-;4;2;15;341
"31 Minas Gerais";3;17;14;25;22;8;-;1;-;-;1;3;94
"32 Espírito Santo";14;24;52;48;53;19;8;1;-;1;2;3;225
"33 Rio de Janeiro";5;2;6;4;17;3;1;3;-;-;1;1;43
"35 São Paulo";1;1;3;3;4;2;2;1;-;-;-;3;20
"41 Paraná";-;-;1;1;-;-;-;-;-;-;1;-;3
"42 Santa Catarina";-;-;-;-;-;-;-;-;-;-;-;-;-
"43 Rio Grande do Sul";-;-;-;-;-;-;-;-;-;-;-;-;-
"50 Mato Grosso do Sul";-;-;3;7;5;-;-;2;1;-;4;6;28
"51 Mato Grosso";7;26;55;86;62;44;11;12;14;32;85;56;490
"52 Goiás";2;6;20;32;38;6;6;2;-;6;15;18;151
"53 Distrito Federal";-;-;-;-;-;-;-;-;-;-;-;-;-
"00 Ignorado/exterior";-;-;-;-;-;-;-;-;-;-;-;-;-
"Total";122;211;308;304;269;117;52;43;25;53;131;139;1774
&
