"UF de notificação";"Jan";"Fev";"Mar";"Abr";"Mai";"Jun";"Jul";"Ago";"Set";"Out";"Nov";"Dez";"Total"
"11 Rondônia";-;2;1;-;-;-;-;-;-;-;-;-;3
"12 Acre";-;-;-;-;-;-;-;-;-;-;-;-;-
"13 Amazonas";13;17;3;1;-;-;-;-;-;-;1;-;35
"14 Roraima";-;-;-;-;-;-;-;-;-;-;-;-;-
"15 Pará";4;1;3;-;1;1;-;-;-;1;1;-;12
"16 Amapá";-;-;-;1;-;-;-;-;-;-;-;-;1
"17 Tocantins";1;-;-;-;1;-;-;-;-;-;-;-;2
"21 Maranhão";4;-;-;2;-;1;-;3;-;-;-;-;10
"22 Piauí";-;-;-;-;-;-;-;-;-;-;-;-;-
"23 Ceará";4;3;6;5;1;1;-;-;-;-;-;-;20
"24 Rio Grande do Norte";3;14;13;21;23;13;5;4;1;-;-;-;97
"25 Paraíba";-;1;1;-;4;1;-;-;-;-;-;-;7
"26 Pernambuco";-;1;3;-;1;2;1;-;-;-;-;-;8
"27 Alagoas";-;1;-;2;-;-;-;-;-;-;-;-;3
"28 Sergipe";-;-;-;2;1;4;3;1;-;-;-;-;11
"29 Bahia";3;-;2;2;4;1;3;1;1;1;-;1;19
"31 Minas Gerais";-;1;1;3;1;-;-;-;-;-;-;-;6
"32 Espírito Santo";1;1;1;1;3;1;2;-;-;-;-;-;10
"33 Rio de Janeiro";2;9;11;15;16;6;-;-;-;-;-;1;60
"35 São Paulo";1;2;1;12;4;-;1;-;-;-;-;-;21
"41 Paraná";1;1;5;1;-;-;-;-;-;-;-;-;8
"42 Santa Catarina";-;-;-;-;-;-;-;-;-;-;-;-;-
"43 Rio Grande do Sul";-;-;-;-;-;-;-;-;-;-;-;-;-
"50 Mato Grosso do Sul";-;2;-;-;2;-;-;-;-;-;-;-;4
"51 Mato Grosso";1;-;-;1;-;-;-;1;-;-;-;-;3
"52 Goiás";-;3;6;3;5;1;1;-;-;-;-;1;20
"53 Distrito Federal";-;-;-;-;-;-;-;1;-;-;-;1;2
"00 Ignorado/exterior";-;-;-;-;-;-;-;-;-;-;-;-;-
"Total";38;59;57;72;67;32;16;11;2;2;2;4;362
&
