"UF de notificação";"Jan";"Fev";"Mar";"Abr";"Mai";"Jun";"Jul";"Ago";"Set";"Out";"Nov";"Dez";"Total"
"11 Rondônia";-;-;-;-;-;-;-;-;-;-;-;1;1
"12 Acre";-;-;-;-;-;-;-;-;-;-;-;-;-
"13 Amazonas";-;-;-;-;-;-;-;-;-;-;-;1;1
"14 Roraima";-;-;-;-;-;-;-;1;-;-;-;-;1
"15 Pará";-;-;-;-;-;-;-;-;1;-;-;-;1
"16 Amapá";-;-;-;-;-;-;-;-;1;-;-;-;1
"17 Tocantins";-;-;-;1;-;-;-;-;-;-;-;-;1
"21 Maranhão";1;-;-;-;-;-;-;-;-;-;-;-;1
"22 Piauí";-;-;1;-;-;1;-;-;-;-;-;-;2
"23 Ceará";-;-;3;3;1;-;1;-;-;-;-;-;8
"24 Rio Grande do Norte";-;6;10;14;4;5;2;1;1;-;1;1;45
"25 Paraíba";-;-;-;1;-;-;1;-;-;-;-;-;2
"26 Pernambuco";-;2;1;1;-;-;1;-;-;-;-;-;5
"27 Alagoas";-;-;-;-;-;1;2;-;-;-;-;-;3
"28 Sergipe";-;-;-;-;-;-;-;-;-;-;-;-;-
"29 Bahia";-;-;3;2;3;1;-;-;-;-;1;-;10
"31 Minas Gerais";1;1;-;3;-;-;-;-;-;-;-;-;5
"32 Espírito Santo";-;-;1;2;3;1;-;-;1;-;1;-;9
"33 Rio de Janeiro";-;-;4;5;2;1;-;-;-;-;-;-;12
"35 São Paulo";-;1;-;1;3;-;1;-;-;-;-;-;6
"41 Paraná";-;-;-;-;-;-;-;-;-;-;-;-;-
"42 Santa Catarina";-;-;-;-;-;-;-;-;-;-;-;-;-
"43 Rio Grande do Sul";-;-;-;-;-;-;-;-;-;-;-;-;-
"50 Mato Grosso do Sul";-;-;-;-;1;1;-;-;-;-;-;-;2
"51 Mato Grosso";2;1;1;1;3;-;-;-;-;2;-;-;10
"52 Goiás";1;4;2;2;3;1;-;1;3;2;-;-;19
"53 Distrito Federal";-;-;-;-;-;-;-;-;-;1;-;-;1
"00 Ignorado/exterior";-;-;-;-;-;-;-;-;-;-;-;-;-
"Total";5;15;26;36;23;12;8;3;7;5;3;3;146
&
