"UF de notificação";"Jan";"Fev";"Mar";"Abr";"Mai";"Jun";"Jul";"Ago";"Nov";"Total"
"11 Rondônia";-;-;-;-;-;-;-;-;-;-
"12 Acre";-;-;-;-;-;-;-;-;-;-
"13 Amazonas";-;-;-;-;-;-;-;-;-;-
"14 Roraima";-;-;-;-;-;-;-;-;-;-
"15 Pará";-;-;-;-;-;-;-;-;-;-
"16 Amapá";-;-;-;-;-;-;-;-;-;-
"17 Tocantins";-;-;1;-;-;-;-;-;-;1
"21 Maranhão";-;-;-;-;-;-;-;-;-;-
"22 Piauí";-;-;-;-;-;-;-;-;-;-
"23 Ceará";-;-;-;-;-;-;-;-;-;-
"24 Rio Grande do Norte";1;1;2;3;3;3;2;1;1;17
"25 Paraíba";-;-;-;-;-;-;-;-;-;-
"26 Pernambuco";-;-;-;-;-;-;-;-;-;-
"27 Alagoas";-;-;-;-;-;-;-;-;-;-
"28 Sergipe";-;-;-;-;-;-;-;-;-;-
"29 Bahia";-;-;-;-;-;-;-;-;-;-
"31 Minas Gerais";-;-;-;-;-;-;-;-;-;-
"32 Espírito Santo";-;-;-;-;-;-;-;-;-;-
"33 Rio de Janeiro";-;-;-;-;1;-;-;-;-;1
"35 São Paulo";-;-;-;-;-;-;-;-;-;-
"41 Paraná";-;-;-;-;-;-;-;-;-;-
"42 Santa Catarina";-;-;-;-;-;-;-;-;-;-
"43 Rio Grande do Sul";-;-;-;-;-;-;-;-;-;-
"50 Mato Grosso do Sul";-;-;-;-;-;-;-;-;-;-
"51 Mato Grosso";-;-;-;-;-;-;-;-;-;-
"52 Goiás";-;-;-;-;-;-;-;-;-;-
"53 Distrito Federal";-;-;-;-;-;-;-;-;-;-
"00 Ignorado/exterior";-;-;-;-;-;-;-;-;-;-
"Total";1;1;3;3;4;3;2;1;1;19
&
