"UF de notificação";"Jan";"Fev";"Mar";"Abr";"Mai";"Jun";"Jul";"Ago";"Set";"Out";"Nov";"Dez";"Total"
"11 Rondônia";2;1;-;-;-;-;-;-;-;-;-;-;3
"12 Acre";-;-;-;-;-;-;-;-;-;-;-;-;-
"13 Amazonas";1;-;3;1;-;-;-;-;-;-;-;-;5
"14 Roraima";-;-;-;-;1;-;-;-;-;-;-;-;1
"15 Pará";-;1;1;-;-;-;3;-;1;-;-;-;6
"16 Amapá";1;-;-;-;-;-;-;-;-;1;-;-;2
"17 Tocantins";-;-;1;-;1;-;1;-;-;-;1;-;4
"21 Maranhão";-;1;4;12;10;12;21;38;25;11;4;-;138
"22 Piauí";-;-;1;1;7;9;3;1;-;2;1;2;27
"23 Ceará";1;-;2;1;2;4;3;-;-;-;-;-;13
"24 Rio Grande do Norte";-;-;1;-;3;14;9;4;-;-;-;-;31
"25 Paraíba";-;-;-;-;-;-;1;-;-;1;-;-;2
"26 Pernambuco";-;2;2;-;4;7;1;-;-;-;-;-;16
"27 Alagoas";1;-;-;1;2;3;4;3;7;1;2;1;25
"28 Sergipe";-;-;-;-;-;-;-;-;-;-;-;-;-
"29 Bahia";1;1;2;-;2;-;-;-;-;-;-;-;6
"31 Minas Gerais";3;1;1;5;-;2;-;-;-;-;-;2;14
"32 Espírito Santo";-;1;4;5;2;1;-;-;-;-;-;-;13
"33 Rio de Janeiro";-;2;5;9;5;3;1;2;-;-;-;-;27
"35 São Paulo";1;3;12;13;2;-;-;-;-;1;-;1;33
"41 Paraná";-;-;-;-;-;-;-;-;-;-;-;-;-
"42 Santa Catarina";-;-;-;-;-;-;-;-;-;-;-;-;-
"43 Rio Grande do Sul";-;1;-;-;-;-;-;-;-;-;-;-;1
"50 Mato Grosso do Sul";1;1;1;3;2;-;-;-;-;-;2;-;10
"51 Mato Grosso";-;-;-;-;-;-;-;-;-;-;3;5;8
"52 Goiás";18;11;12;6;6;1;-;-;-;-;6;7;67
"53 Distrito Federal";-;-;-;-;-;-;-;-;-;-;-;-;-
"00 Ignorado/exterior";-;-;-;-;-;-;-;-;-;-;-;-;-
"Total";30;26;52;57;49;56;47;48;33;17;19;18;452
&
