"UF de notificação";"Jan";"Fev";"Mar";"Abr";"Mai";"Jul";"Ago";"Nov";"Dez";"Total"
"11 Rondônia";-;-;-;-;-;-;-;-;-;-
"12 Acre";-;-;-;-;-;-;-;-;-;-
"13 Amazonas";23;19;9;-;-;-;-;-;-;51
"14 Roraima";-;-;-;-;-;-;-;-;-;-
"15 Pará";-;-;-;-;-;-;-;-;-;-
"16 Amapá";-;-;-;-;-;-;-;-;-;-
"17 Tocantins";-;-;-;1;1;-;-;2;1;5
"21 Maranhão";-;-;-;-;-;-;-;-;-;-
"22 Piauí";-;-;-;-;-;-;-;-;-;-
"23 Ceará";-;-;-;-;-;-;-;-;-;-
"24 Rio Grande do Norte";2;2;6;3;4;2;1;-;1;21
"25 Paraíba";-;-;-;-;-;-;-;-;-;-
"26 Pernambuco";-;-;-;-;-;-;-;-;-;-
"27 Alagoas";-;-;-;-;-;-;-;-;-;-
"28 Sergipe";-;1;-;-;-;-;-;-;-;1
"29 Bahia";-;-;-;-;-;-;-;-;-;-
"31 Minas Gerais";1;-;1;1;3;-;-;-;-;6
"32 Espírito Santo";-;-;-;-;1;-;-;-;-;1
"33 Rio de Janeiro";-;-;-;-;-;-;-;-;-;-
"35 São Paulo";-;-;-;-;-;-;-;-;-;-
"41 Paraná";-;-;-;-;-;-;-;-;-;-
"42 Santa Catarina";-;-;-;-;-;-;-;-;-;-
"43 Rio Grande do Sul";-;-;-;-;-;-;-;-;-;-
"50 Mato Grosso do Sul";-;-;-;-;-;-;-;-;-;-
"51 Mato Grosso";-;-;-;-;-;-;-;2;1;3
"52 Goiás";-;1;-;-;-;-;-;1;-;2
"53 Distrito Federal";-;-;-;-;-;-;-;-;-;-
"00 Ignorado/exterior";-;-;-;-;-;-;-;-;-;-
"Total";26;23;16;5;9;2;1;5;3;90
&
