"UF de notificação";"Jan";"Fev";"Mar";"Abr";"Mai";"Jun";"Jul";"Ago";"Set";"Out";"Nov";"Dez";"Total"
"11 Rondônia";15;12;1;2;1;-;-;-;1;-;-;3;35
"12 Acre";1;-;1;-;-;-;-;-;-;-;-;-;2
"13 Amazonas";2;-;-;-;3;2;-;1;3;1;1;1;14
"14 Roraima";-;-;1;1;4;1;-;-;2;-;-;-;9
"15 Pará";2;2;-;5;-;5;-;-;-;-;-;-;14
"16 Amapá";-;-;-;-;-;-;-;-;-;-;-;-;-
"17 Tocantins";-;-;-;1;-;-;1;-;-;-;-;-;2
"21 Maranhão";-;-;-;-;-;1;1;1;-;-;-;-;3
"22 Piauí";-;1;-;-;-;3;1;-;-;-;-;-;5
"23 Ceará";-;1;1;-;-;-;-;1;1;1;-;-;5
"24 Rio Grande do Norte";-;-;1;1;6;13;11;6;2;2;5;-;47
"25 Paraíba";-;-;-;-;-;4;3;-;-;-;-;-;7
"26 Pernambuco";-;1;1;2;3;8;6;1;-;-;-;-;22
"27 Alagoas";-;-;-;-;-;1;2;-;1;1;2;-;7
"28 Sergipe";-;-;-;1;-;-;-;1;-;-;-;-;2
"29 Bahia";4;-;2;7;4;2;2;1;1;-;-;-;23
"31 Minas Gerais";1;3;2;1;5;4;2;-;-;-;-;1;19
"32 Espírito Santo";2;1;2;-;1;1;2;1;1;-;-;-;11
"33 Rio de Janeiro";-;1;3;6;6;1;3;3;-;-;-;2;25
"35 São Paulo";7;24;34;38;31;4;1;-;-;-;1;1;141
"41 Paraná";1;3;9;6;1;-;-;-;-;-;-;-;20
"42 Santa Catarina";-;-;-;-;-;-;-;-;-;-;-;-;-
"43 Rio Grande do Sul";-;-;-;-;-;-;-;-;-;-;-;-;-
"50 Mato Grosso do Sul";9;8;7;1;-;1;-;-;2;-;-;1;29
"51 Mato Grosso";38;17;10;6;2;-;1;-;1;-;-;6;81
"52 Goiás";11;10;4;4;5;2;1;-;1;-;1;3;42
"53 Distrito Federal";-;-;1;-;-;-;-;-;-;-;-;-;1
"00 Ignorado/exterior";-;-;-;-;-;-;-;-;-;-;-;-;-
"Total";93;84;80;82;72;53;37;16;16;5;10;18;566
&
