"UF de notificação";"Jan";"Fev";"Mar";"Abr";"Mai";"Jun";"Jul";"Ago";"Set";"Out";"Nov";"Dez";"Total"
"11 Rondônia";-;1;-;1;-;2;-;1;-;-;-;-;5
"12 Acre";1;-;-;-;-;-;-;-;-;1;-;1;3
"13 Amazonas";47;32;21;10;5;3;2;-;-;-;1;10;131
"14 Roraima";2;2;4;4;3;9;5;7;9;3;5;2;55
"15 Pará";33;9;8;1;3;1;-;-;4;4;-;2;65
"16 Amapá";3;-;2;-;-;-;1;-;-;-;-;-;6
"17 Tocantins";4;8;10;6;2;2;-;-;1;-;2;1;36
"21 Maranhão";2;1;3;1;1;-;-;-;-;-;-;-;8
"22 Piauí";3;-;6;3;3;1;-;-;-;-;-;-;16
"23 Ceará";6;6;19;13;6;2;-;-;-;1;-;1;54
"24 Rio Grande do Norte";19;19;11;24;59;27;9;4;-;-;1;3;176
"25 Paraíba";1;5;1;8;2;5;-;-;-;-;-;-;22
"26 Pernambuco";1;2;8;12;14;9;-;2;-;-;-;-;48
"27 Alagoas";4;3;9;16;22;-;1;-;-;-;2;1;58
"28 Sergipe";4;7;7;29;87;59;5;3;1;1;1;2;206
"29 Bahia";-;1;3;12;14;8;1;-;1;2;3;5;50
"31 Minas Gerais";-;1;6;14;4;2;1;-;2;1;2;1;34
"32 Espírito Santo";2;1;6;25;16;12;3;1;-;-;1;-;67
"33 Rio de Janeiro";203;406;405;130;25;9;-;-;-;-;-;17;1195
"35 São Paulo";-;1;1;8;-;1;-;-;-;-;-;-;11
"41 Paraná";-;-;-;-;-;-;-;-;-;-;-;-;-
"42 Santa Catarina";-;-;-;-;-;-;-;-;-;-;-;-;-
"43 Rio Grande do Sul";1;-;-;-;1;-;-;-;-;-;-;-;2
"50 Mato Grosso do Sul";-;1;-;-;-;-;-;-;-;-;-;-;1
"51 Mato Grosso";2;1;2;-;-;-;-;-;-;-;-;1;6
"52 Goiás";12;28;56;56;43;22;1;1;-;5;2;4;230
"53 Distrito Federal";1;-;2;-;-;-;-;-;-;-;-;-;3
"00 Ignorado/exterior";-;-;-;-;-;-;-;-;-;-;-;-;-
"Total";351;535;590;373;310;174;29;19;18;18;20;51;2488
&
