"UF de notificação";"Jan";"Fev";"Mar";"Abr";"Mai";"Jun";"Jul";"Ago";"Set";"Out";"Nov";"Dez";"Total"
"11 Rondônia";2;1;-;-;-;1;-;1;-;1;-;1;7
"12 Acre";-;-;-;-;-;-;-;-;-;-;-;-;-
"13 Amazonas";2;1;5;10;23;6;-;-;-;-;-;-;47
"14 Roraima";-;-;-;-;-;-;-;-;-;-;-;-;-
"15 Pará";2;1;-;-;-;-;-;-;-;1;-;-;4
"16 Amapá";-;-;-;-;-;-;-;-;1;-;-;-;1
"17 Tocantins";-;-;1;2;-;-;-;-;-;-;3;1;7
"21 Maranhão";2;1;2;1;10;2;1;3;-;-;-;-;22
"22 Piauí";-;-;1;2;7;1;-;-;-;-;-;-;11
"23 Ceará";5;8;10;13;11;7;4;5;1;-;2;2;68
"24 Rio Grande do Norte";3;2;3;2;5;-;-;-;-;-;-;-;15
"25 Paraíba";-;-;-;-;-;-;-;-;-;-;-;-;-
"26 Pernambuco";-;-;-;-;2;1;-;-;-;-;-;-;3
"27 Alagoas";1;1;-;1;6;-;-;2;-;-;-;-;11
"28 Sergipe";-;-;-;-;-;-;-;-;-;-;-;-;-
"29 Bahia";1;1;3;4;1;-;1;1;-;-;-;-;12
"31 Minas Gerais";5;14;18;23;11;1;-;-;-;-;-;-;72
"32 Espírito Santo";2;5;9;1;-;-;-;-;-;-;-;3;20
"33 Rio de Janeiro";4;2;6;3;1;-;1;-;-;2;-;-;19
"35 São Paulo";2;5;1;3;1;-;1;-;-;-;-;-;13
"41 Paraná";-;-;-;-;-;-;-;-;-;-;-;-;-
"42 Santa Catarina";-;-;-;-;-;-;-;-;-;-;-;-;-
"43 Rio Grande do Sul";-;-;-;-;-;-;-;-;-;-;-;-;-
"50 Mato Grosso do Sul";-;2;-;-;-;-;-;-;-;-;-;-;2
"51 Mato Grosso";6;5;3;-;1;-;-;-;-;-;-;3;18
"52 Goiás";3;2;9;5;3;2;-;-;-;1;-;3;28
"53 Distrito Federal";-;-;1;-;-;-;-;-;-;-;-;-;1
"00 Ignorado/exterior";-;-;-;-;-;-;-;-;-;-;-;-;-
"Total";40;51;72;70;82;21;8;12;2;5;5;13;381
&
