"UF de notificação";"Jan";"Fev";"Mar";"Abr";"Mai";"Jun";"Jul";"Ago";"Set";"Out";"Nov";"Dez";"Total"
"11 Rondônia";41;10;10;4;2;-;1;-;-;1;-;6;75
"12 Acre";-;-;1;-;-;1;1;-;-;-;4;2;9
"13 Amazonas";5;1;8;13;10;16;9;14;7;8;10;11;112
"14 Roraima";-;3;3;4;13;27;17;1;-;1;3;-;72
"15 Pará";6;6;18;12;6;3;1;6;4;4;4;4;74
"16 Amapá";-;-;-;-;-;-;-;1;-;-;-;-;1
"17 Tocantins";-;-;3;2;-;2;-;1;-;-;1;1;10
"21 Maranhão";-;1;1;4;4;12;12;11;5;3;1;-;54
"22 Piauí";1;4;3;-;7;6;4;-;2;-;-;-;27
"23 Ceará";2;2;4;3;3;3;1;5;4;1;1;-;29
"24 Rio Grande do Norte";-;2;4;2;13;24;30;6;7;6;4;6;104
"25 Paraíba";3;-;-;2;4;3;4;-;2;-;-;2;20
"26 Pernambuco";1;8;9;17;30;25;25;18;6;4;4;3;150
"27 Alagoas";6;17;48;19;23;26;14;5;5;2;-;3;168
"28 Sergipe";-;-;4;2;2;4;4;3;1;-;4;2;26
"29 Bahia";16;18;28;34;43;21;12;5;1;2;-;3;183
"31 Minas Gerais";12;24;16;30;20;5;1;2;1;-;-;1;112
"32 Espírito Santo";11;9;7;35;40;18;8;6;5;2;4;7;152
"33 Rio de Janeiro";14;12;30;50;75;43;28;20;6;5;10;16;309
"35 São Paulo";24;41;80;80;29;7;-;1;-;-;-;3;265
"41 Paraná";-;5;20;10;4;1;-;-;-;-;1;1;42
"42 Santa Catarina";-;-;-;-;-;-;-;-;-;-;-;-;-
"43 Rio Grande do Sul";1;15;14;3;-;-;-;-;-;-;-;-;33
"50 Mato Grosso do Sul";22;24;36;17;5;1;1;-;-;-;-;6;112
"51 Mato Grosso";68;46;17;6;3;1;-;-;1;2;1;22;167
"52 Goiás";64;51;22;27;15;7;-;1;-;-;-;8;195
"53 Distrito Federal";1;3;2;-;-;-;-;-;-;-;-;-;6
"00 Ignorado/exterior";-;-;-;-;-;-;-;-;-;-;-;-;-
"Total";298;302;388;376;351;256;173;106;57;41;52;107;2507
&
