"UF de notificação";"Jan";"Fev";"Mar";"Abr";"Mai";"Jun";"Jul";"Ago";"Set";"Out";"Nov";"Dez";"Total"
"11 Rondônia";-;1;-;-;-;-;2;-;-;1;2;-;6
"12 Acre";-;-;-;-;-;-;-;-;-;-;-;-;-
"13 Amazonas";-;-;4;1;2;-;-;1;-;-;1;4;13
"14 Roraima";-;-;-;-;-;-;-;-;-;-;-;-;-
"15 Pará";-;2;4;-;-;1;-;1;1;-;2;-;11
"16 Amapá";-;1;1;-;-;-;1;2;-;-;-;-;5
"17 Tocantins";1;3;2;2;3;3;-;-;-;-;-;1;15
"21 Maranhão";-;-;2;1;2;-;-;-;2;1;-;-;8
"22 Piauí";-;1;4;5;1;-;1;1;-;-;-;-;13
"23 Ceará";3;3;5;11;16;4;1;1;1;3;-;2;50
"24 Rio Grande do Norte";1;4;5;6;11;3;1;5;1;-;-;1;38
"25 Paraíba";-;2;2;2;4;3;-;1;-;1;1;-;16
"26 Pernambuco";5;-;1;3;1;1;-;-;-;-;-;-;11
"27 Alagoas";1;1;3;9;8;1;1;3;2;2;1;-;32
"28 Sergipe";2;2;4;3;5;-;-;1;-;-;1;-;18
"29 Bahia";10;7;10;15;5;4;2;1;-;1;1;3;59
"31 Minas Gerais";1;-;2;1;1;-;-;-;2;-;1;4;12
"32 Espírito Santo";3;7;7;10;7;6;5;3;4;4;5;4;65
"33 Rio de Janeiro";6;5;20;23;20;15;5;3;3;2;-;4;106
"35 São Paulo";2;6;5;5;4;4;1;1;-;-;1;2;31
"41 Paraná";-;-;1;-;1;-;-;-;-;-;-;-;2
"42 Santa Catarina";-;-;-;-;-;-;-;-;-;-;-;-;-
"43 Rio Grande do Sul";-;-;-;-;-;-;-;-;-;-;-;-;-
"50 Mato Grosso do Sul";-;-;3;5;2;1;-;3;-;3;2;9;28
"51 Mato Grosso";3;9;7;7;1;3;-;2;-;-;1;2;35
"52 Goiás";-;8;13;19;9;14;6;2;6;4;8;7;96
"53 Distrito Federal";-;-;1;-;-;-;-;-;-;-;-;-;1
"00 Ignorado/exterior";-;-;-;-;-;-;-;-;-;-;-;-;-
"Total";38;62;106;128;103;63;26;31;22;22;27;43;671
&
