"UF de notificação";"Jan";"Fev";"Mar";"Abr";"Mai";"Jun";"Jul";"Ago";"Total"
"11 Rondônia";-;-;-;-;-;-;-;-;-
"12 Acre";-;-;-;-;-;-;-;-;-
"13 Amazonas";-;-;1;-;-;-;-;-;1
"14 Roraima";-;-;-;-;-;-;-;-;-
"15 Pará";-;-;-;-;-;-;-;-;-
"16 Amapá";-;-;-;-;-;-;-;1;1
"17 Tocantins";1;1;-;-;1;-;-;-;3
"21 Maranhão";-;-;1;-;-;-;-;-;1
"22 Piauí";-;1;-;-;-;-;-;-;1
"23 Ceará";-;-;-;-;-;-;1;-;1
"24 Rio Grande do Norte";-;-;1;-;-;2;-;-;3
"25 Paraíba";-;1;-;-;-;-;-;-;1
"26 Pernambuco";-;-;-;-;-;-;-;-;-
"27 Alagoas";-;-;-;-;-;-;-;-;-
"28 Sergipe";-;-;-;-;-;-;-;-;-
"29 Bahia";-;-;-;-;-;2;-;-;2
"31 Minas Gerais";1;-;1;-;-;1;-;-;3
"32 Espírito Santo";-;-;-;-;-;-;-;-;-
"33 Rio de Janeiro";-;-;-;-;-;-;-;-;-
"35 São Paulo";-;-;-;-;-;-;-;-;-
"41 Paraná";-;-;-;-;-;-;-;-;-
"42 Santa Catarina";-;-;-;-;-;-;-;-;-
"43 Rio Grande do Sul";-;-;-;-;-;-;-;-;-
"50 Mato Grosso do Sul";-;-;-;-;-;-;-;-;-
"51 Mato Grosso";-;-;-;-;-;-;-;-;-
"52 Goiás";2;-;-;1;-;-;1;-;4
"53 Distrito Federal";-;-;-;-;-;-;-;-;-
"00 Ignorado/exterior";-;-;-;-;-;-;-;-;-
"Total";4;3;4;1;1;5;2;1;21
&
