"UF de notificação";"Jan";"Fev";"Mar";"Abr";"Mai";"Jun";"Jul";"Ago";"Set";"Out";"Nov";"Dez";"Total"
"11 Rondônia";1;-;1;-;1;-;-;-;1;3;6;12;25
"12 Acre";1;-;1;-;-;-;-;-;-;-;1;-;3
"13 Amazonas";3;1;1;-;1;-;-;-;-;-;-;-;6
"14 Roraima";2;1;-;-;-;-;-;-;1;-;-;-;4
"15 Pará";-;3;1;-;1;1;1;-;-;-;-;-;7
"16 Amapá";-;-;-;-;-;-;-;-;-;-;-;-;-
"17 Tocantins";-;-;-;-;-;-;-;-;-;-;-;-;-
"21 Maranhão";-;1;-;-;-;1;1;-;-;-;-;-;3
"22 Piauí";-;-;1;-;-;1;-;-;1;-;-;-;3
"23 Ceará";-;1;1;1;1;1;-;-;-;-;1;-;6
"24 Rio Grande do Norte";-;-;-;1;-;1;1;1;2;-;-;-;6
"25 Paraíba";-;-;-;-;-;-;-;-;-;-;-;-;-
"26 Pernambuco";-;-;-;-;-;-;-;-;-;-;-;-;-
"27 Alagoas";-;-;-;-;-;-;-;-;-;-;1;-;1
"28 Sergipe";-;-;1;-;-;-;-;-;-;-;-;-;1
"29 Bahia";9;12;36;31;13;3;4;1;1;1;-;4;115
"31 Minas Gerais";2;3;1;1;7;3;-;-;-;-;-;-;17
"32 Espírito Santo";-;4;7;3;6;7;-;1;-;1;-;-;29
"33 Rio de Janeiro";1;2;1;1;4;2;-;1;-;-;1;-;13
"35 São Paulo";-;-;1;-;3;-;-;-;-;-;1;2;7
"41 Paraná";-;-;-;-;-;-;-;-;-;-;-;-;-
"42 Santa Catarina";-;-;-;-;-;-;-;-;-;-;-;-;-
"43 Rio Grande do Sul";-;-;-;-;-;-;-;-;-;-;-;-;-
"50 Mato Grosso do Sul";-;-;-;-;-;-;-;-;-;-;-;2;2
"51 Mato Grosso";1;7;22;20;27;9;2;12;8;8;22;32;170
"52 Goiás";1;2;1;4;3;1;1;-;-;-;2;2;17
"53 Distrito Federal";-;-;-;-;-;-;-;-;-;-;-;-;-
"00 Ignorado/exterior";-;-;-;-;-;-;-;-;-;-;-;-;-
"Total";21;37;76;62;67;30;10;16;14;13;35;54;435
&
