"UF de notificação";"Jan";"Fev";"Mar";"Abr";"Mai";"Jun";"Jul";"Ago";"Set";"Out";"Nov";"Dez";"Total"
"11 Rondônia";-;-;-;-;-;-;-;1;-;-;-;1;2
"12 Acre";-;-;-;-;-;-;-;-;-;-;-;-;-
"13 Amazonas";1;1;1;-;-;1;-;-;-;-;-;-;4
"14 Roraima";-;-;-;-;-;2;1;-;-;-;-;-;3
"15 Pará";-;1;1;4;1;-;-;-;1;-;-;-;8
"16 Amapá";-;-;-;-;-;-;-;-;-;-;-;-;-
"17 Tocantins";1;5;-;-;-;-;-;-;-;-;-;-;6
"21 Maranhão";-;1;2;6;16;7;3;4;1;-;-;-;40
"22 Piauí";-;1;1;1;-;2;1;2;-;-;-;-;8
"23 Ceará";-;-;1;4;11;6;18;8;1;-;3;-;52
"24 Rio Grande do Norte";-;-;-;1;1;2;1;1;-;-;1;1;8
"25 Paraíba";-;1;-;1;1;1;-;1;-;-;-;-;5
"26 Pernambuco";-;-;-;-;2;2;2;-;-;-;-;-;6
"27 Alagoas";-;-;-;1;2;2;2;4;3;-;1;-;15
"28 Sergipe";-;-;-;-;-;1;-;-;-;-;-;-;1
"29 Bahia";-;-;1;5;2;-;1;1;1;-;-;-;11
"31 Minas Gerais";-;-;-;4;3;1;-;-;-;1;1;4;14
"32 Espírito Santo";-;-;-;-;1;-;-;-;-;-;-;-;1
"33 Rio de Janeiro";-;2;-;-;-;-;2;1;-;-;-;2;7
"35 São Paulo";-;-;3;2;-;-;-;-;-;-;-;-;5
"41 Paraná";-;-;-;1;-;-;-;-;-;-;-;-;1
"42 Santa Catarina";-;-;-;-;-;-;-;-;-;-;-;-;-
"43 Rio Grande do Sul";-;-;-;-;-;-;-;-;-;-;-;-;-
"50 Mato Grosso do Sul";-;1;-;1;-;-;-;-;-;-;-;-;2
"51 Mato Grosso";-;6;1;2;1;1;-;-;1;-;-;-;12
"52 Goiás";2;8;18;18;6;2;2;1;2;1;-;2;62
"53 Distrito Federal";-;-;-;-;-;-;-;-;-;-;-;-;-
"00 Ignorado/exterior";-;-;-;-;-;-;-;-;-;-;-;-;-
"Total";4;27;29;51;47;30;33;24;10;2;6;10;273
&
