"UF de notificação";"Jan";"Fev";"Mar";"Abr";"Mai";"Jun";"Jul";"Ago";"Set";"Out";"Nov";"Dez";"Total"
"11 Rondônia";-;-;-;-;-;-;-;-;-;-;-;-;-
"12 Acre";-;-;-;-;-;-;-;-;-;-;-;-;-
"13 Amazonas";-;9;15;12;2;13;26;1;3;1;7;8;97
"14 Roraima";-;2;1;-;-;-;-;-;-;-;-;-;3
"15 Pará";1;5;11;7;4;1;1;2;2;5;9;8;56
"16 Amapá";-;-;-;-;1;3;-;-;1;-;-;-;5
"17 Tocantins";1;-;2;1;1;-;2;-;-;-;1;2;10
"21 Maranhão";8;11;22;31;30;17;10;3;1;1;1;4;139
"22 Piauí";4;-;11;15;23;15;1;-;-;2;-;1;72
"23 Ceará";3;9;2;6;9;21;11;9;3;7;4;2;86
"24 Rio Grande do Norte";-;-;5;1;11;4;6;3;9;2;2;-;43
"25 Paraíba";-;2;8;10;21;9;8;7;-;-;2;-;67
"26 Pernambuco";-;-;5;23;10;4;5;3;1;1;1;-;53
"27 Alagoas";3;2;5;6;14;14;5;9;7;7;1;3;76
"28 Sergipe";-;-;-;-;1;1;1;-;-;-;1;2;6
"29 Bahia";1;3;2;2;2;1;-;-;-;-;-;1;12
"31 Minas Gerais";1;1;1;1;-;-;-;-;-;-;-;1;5
"32 Espírito Santo";-;-;-;3;-;-;-;-;-;-;-;-;3
"33 Rio de Janeiro";4;4;26;25;33;10;10;3;5;3;7;21;151
"35 São Paulo";3;5;10;12;13;-;1;-;-;-;-;-;44
"41 Paraná";-;-;-;5;-;-;-;-;-;-;-;-;5
"42 Santa Catarina";-;-;-;-;-;-;-;-;-;-;-;-;-
"43 Rio Grande do Sul";-;-;-;-;-;-;1;-;-;-;-;-;1
"50 Mato Grosso do Sul";31;20;21;3;-;-;-;-;-;-;-;3;78
"51 Mato Grosso";-;1;1;3;1;-;-;-;-;-;1;1;8
"52 Goiás";11;12;11;6;8;9;3;4;2;-;2;8;76
"53 Distrito Federal";-;-;1;1;1;-;-;-;-;-;-;-;3
"00 Ignorado/exterior";-;-;-;-;-;-;-;-;-;-;-;-;-
"Total";71;86;160;173;185;122;91;44;34;29;39;65;1099
&
