"UF de notificação";"Jan";"Fev";"Mar";"Abr";"Mai";"Jun";"Jul";"Ago";"Out";"Nov";"Dez";"Total"
"11 Rondônia";-;-;-;-;-;-;-;-;-;1;-;1
"12 Acre";-;-;1;-;-;-;-;-;1;3;-;5
"13 Amazonas";-;-;1;-;-;-;1;-;-;-;-;2
"14 Roraima";-;-;-;-;-;-;-;-;-;1;-;1
"15 Pará";-;-;-;-;-;-;-;-;-;-;-;-
"16 Amapá";-;1;-;1;-;-;-;1;-;-;-;3
"17 Tocantins";1;-;-;-;-;-;-;-;-;-;1;2
"21 Maranhão";1;-;-;-;2;-;-;-;-;-;-;3
"22 Piauí";-;-;1;-;-;-;-;-;-;-;-;1
"23 Ceará";2;1;-;1;-;2;1;1;1;1;-;10
"24 Rio Grande do Norte";-;-;1;-;2;2;-;-;-;-;-;5
"25 Paraíba";-;-;-;1;-;-;-;-;-;-;-;1
"26 Pernambuco";-;-;3;3;-;-;-;-;1;-;-;7
"27 Alagoas";-;1;-;2;4;1;1;-;-;-;-;9
"28 Sergipe";-;-;-;-;-;-;-;-;-;-;-;-
"29 Bahia";1;1;1;2;-;-;1;-;-;-;-;6
"31 Minas Gerais";-;2;7;5;5;-;-;-;-;-;-;19
"32 Espírito Santo";1;-;-;-;1;-;-;-;-;-;-;2
"33 Rio de Janeiro";1;-;-;-;-;-;-;-;1;-;-;2
"35 São Paulo";-;-;1;-;2;-;-;-;-;-;-;3
"41 Paraná";-;-;-;-;-;-;-;-;-;-;-;-
"42 Santa Catarina";-;-;-;-;-;-;-;-;-;-;-;-
"43 Rio Grande do Sul";-;-;-;-;-;-;-;-;-;-;-;-
"50 Mato Grosso do Sul";-;-;-;-;-;-;-;-;-;-;-;-
"51 Mato Grosso";-;1;-;-;-;-;-;-;-;-;-;1
"52 Goiás";7;2;3;2;1;-;-;-;-;-;1;16
"53 Distrito Federal";-;-;-;-;-;-;-;-;1;-;-;1
"00 Ignorado/exterior";-;-;-;-;-;-;-;-;-;-;-;-
"Total";14;9;19;17;17;5;4;2;5;6;2;100
&
