"UF de notificação";"Jan";"Fev";"Mar";"Abr";"Mai";"Jun";"Jul";"Ago";"Set";"Out";"Nov";"Dez";"Total"
"11 Rondônia";-;-;-;-;-;-;-;-;-;-;-;-;-
"12 Acre";-;-;-;-;-;-;-;-;-;-;-;-;-
"13 Amazonas";-;-;-;-;-;-;-;-;-;-;-;-;-
"14 Roraima";-;-;-;-;-;-;-;-;-;-;-;-;-
"15 Pará";1;1;1;1;-;-;-;-;1;-;-;-;5
"16 Amapá";-;-;-;-;-;-;-;-;-;-;-;-;-
"17 Tocantins";-;-;-;-;-;-;-;-;-;-;-;-;-
"21 Maranhão";-;-;-;-;-;-;-;-;-;-;-;-;-
"22 Piauí";-;-;1;-;-;-;-;1;-;-;-;-;2
"23 Ceará";-;-;1;4;3;2;3;2;-;-;-;-;15
"24 Rio Grande do Norte";-;-;-;-;-;-;1;1;-;-;-;-;2
"25 Paraíba";-;-;-;-;-;1;2;1;-;-;-;-;4
"26 Pernambuco";1;-;-;-;-;-;-;-;-;-;-;-;1
"27 Alagoas";-;-;-;-;-;-;1;-;-;-;-;-;1
"28 Sergipe";-;-;-;-;-;-;-;-;-;-;-;-;-
"29 Bahia";-;2;1;1;-;-;-;-;-;-;-;-;4
"31 Minas Gerais";-;-;-;-;-;-;-;-;-;-;-;-;-
"32 Espírito Santo";-;-;-;-;-;-;-;-;-;-;-;-;-
"33 Rio de Janeiro";-;-;-;-;-;-;1;-;-;-;-;-;1
"35 São Paulo";-;-;-;-;-;-;-;-;-;-;-;-;-
"41 Paraná";-;-;-;-;-;-;-;-;-;-;-;-;-
"42 Santa Catarina";-;-;-;-;-;-;-;-;-;-;-;-;-
"43 Rio Grande do Sul";-;-;-;-;-;-;-;-;-;-;-;-;-
"50 Mato Grosso do Sul";-;-;-;-;-;-;-;-;-;-;-;-;-
"51 Mato Grosso";1;2;-;-;1;-;-;-;-;-;-;-;4
"52 Goiás";-;3;2;3;-;1;1;-;-;1;1;2;14
"53 Distrito Federal";-;-;-;-;-;-;-;-;-;1;-;-;1
"00 Ignorado/exterior";-;-;-;-;-;-;-;-;-;-;-;-;-
"Total";3;8;6;9;4;4;9;5;1;2;1;2;54
&
