"UF de notificação";"Jan";"Fev";"Mar";"Abr";"Mai";"Jun";"Jul";"Ago";"Set";"Out";"Nov";"Dez";"Total"
"11 Rondônia";-;-;-;2;-;-;-;1;-;-;-;-;3
"12 Acre";-;1;-;-;-;-;-;-;-;-;-;-;1
"13 Amazonas";4;3;3;1;1;-;-;-;-;-;-;-;12
"14 Roraima";-;-;-;5;-;1;2;-;-;1;-;-;9
"15 Pará";13;3;3;-;1;-;-;-;-;-;-;-;20
"16 Amapá";-;-;-;-;-;-;-;-;-;-;-;-;-
"17 Tocantins";1;1;1;-;2;-;-;-;-;-;-;-;5
"21 Maranhão";1;-;-;1;-;-;1;-;-;-;1;-;4
"22 Piauí";-;-;1;1;-;-;-;-;-;-;1;-;3
"23 Ceará";-;3;1;3;1;1;1;-;-;-;-;-;10
"24 Rio Grande do Norte";10;5;4;10;11;6;1;1;-;-;-;2;50
"25 Paraíba";-;1;-;3;2;2;1;-;-;-;-;-;9
"26 Pernambuco";-;-;1;2;4;3;-;-;-;-;1;-;11
"27 Alagoas";-;-;-;1;1;-;-;-;-;-;-;-;2
"28 Sergipe";1;3;1;9;60;11;2;-;-;-;1;2;90
"29 Bahia";-;-;-;1;1;2;2;3;-;1;3;1;14
"31 Minas Gerais";2;-;3;3;3;-;-;-;-;1;-;1;13
"32 Espírito Santo";-;-;4;1;2;1;2;-;-;-;-;-;10
"33 Rio de Janeiro";17;15;48;21;3;2;1;-;-;-;-;3;110
"35 São Paulo";-;-;-;2;1;-;-;-;1;-;-;-;4
"41 Paraná";-;-;1;1;-;-;-;-;-;-;-;-;2
"42 Santa Catarina";-;-;-;-;-;-;-;-;-;-;-;-;-
"43 Rio Grande do Sul";-;-;-;-;-;-;-;-;-;-;-;-;-
"50 Mato Grosso do Sul";-;-;-;-;-;-;-;-;-;-;-;-;-
"51 Mato Grosso";-;1;-;-;-;-;-;-;-;-;-;-;1
"52 Goiás";-;1;3;4;1;-;-;2;-;-;1;1;13
"53 Distrito Federal";-;-;-;-;-;-;-;-;-;-;-;-;-
"00 Ignorado/exterior";-;-;-;-;-;-;-;-;-;-;-;-;-
"Total";49;37;74;71;94;29;13;7;1;3;8;10;396
&
