"UF de notificação";"Jan";"Fev";"Mar";"Abr";"Mai";"Jun";"Jul";"Ago";"Set";"Out";"Nov";"Dez";"Total"
"11 Rondônia";1;-;-;-;-;-;-;-;-;-;-;-;1
"12 Acre";-;-;-;-;-;-;-;-;-;-;-;-;-
"13 Amazonas";-;-;-;-;-;-;-;-;-;-;-;-;-
"14 Roraima";-;-;-;-;-;-;-;-;-;-;-;-;-
"15 Pará";-;-;-;-;-;-;-;-;-;1;-;-;1
"16 Amapá";-;-;-;-;-;-;-;-;-;-;-;1;1
"17 Tocantins";-;-;-;-;-;-;-;-;-;-;-;-;-
"21 Maranhão";-;-;-;1;-;-;-;1;-;2;1;1;6
"22 Piauí";-;-;-;-;-;6;-;-;-;-;-;-;6
"23 Ceará";1;-;-;1;1;-;1;-;-;-;-;-;4
"24 Rio Grande do Norte";-;-;-;2;5;6;9;1;-;-;-;-;23
"25 Paraíba";-;-;-;-;-;-;1;-;-;-;-;-;1
"26 Pernambuco";-;-;-;-;1;-;1;-;-;-;-;-;2
"27 Alagoas";-;1;-;-;-;-;1;1;-;-;-;-;3
"28 Sergipe";-;-;-;-;-;-;-;-;-;-;-;-;-
"29 Bahia";-;-;-;-;-;2;-;-;-;-;-;-;2
"31 Minas Gerais";-;1;2;3;1;-;-;-;-;-;-;-;7
"32 Espírito Santo";-;-;1;1;1;-;-;-;-;-;-;-;3
"33 Rio de Janeiro";1;-;-;-;-;-;-;-;-;-;-;-;1
"35 São Paulo";1;1;3;3;2;1;-;-;-;-;-;-;11
"41 Paraná";-;-;-;-;-;-;-;-;-;-;-;-;-
"42 Santa Catarina";-;-;-;-;-;-;-;-;-;-;-;-;-
"43 Rio Grande do Sul";-;-;-;-;-;-;-;-;-;-;-;-;-
"50 Mato Grosso do Sul";-;-;1;-;-;-;-;-;-;-;-;-;1
"51 Mato Grosso";-;-;1;-;-;-;-;-;-;-;-;1;2
"52 Goiás";1;2;1;-;1;-;-;-;2;1;-;-;8
"53 Distrito Federal";-;-;-;-;-;-;-;-;-;-;-;-;-
"00 Ignorado/exterior";-;-;-;-;-;-;-;-;-;-;-;-;-
"Total";5;5;9;11;12;15;13;3;2;4;1;3;83
&
