"UF de notificação";"Jan";"Fev";"Mar";"Abr";"Mai";"Jun";"Jul";"Ago";"Set";"Out";"Nov";"Dez";"Total"
"11 Rondônia";-;-;-;-;-;-;-;-;-;-;-;-;-
"12 Acre";-;-;-;-;-;-;-;-;-;-;-;-;-
"13 Amazonas";-;1;-;2;-;-;1;-;-;-;-;1;5
"14 Roraima";-;-;-;-;-;-;-;-;-;-;-;-;-
"15 Pará";1;1;2;2;2;-;1;-;1;2;3;4;19
"16 Amapá";-;-;-;1;-;-;-;-;-;-;-;-;1
"17 Tocantins";1;-;-;-;1;1;-;-;1;-;-;-;4
"21 Maranhão";2;1;3;4;-;3;-;1;-;-;-;-;14
"22 Piauí";1;1;-;4;14;4;3;-;-;-;-;-;27
"23 Ceará";1;2;5;2;17;10;-;1;-;-;1;1;40
"24 Rio Grande do Norte";-;-;-;-;1;2;1;2;1;-;-;1;8
"25 Paraíba";-;-;-;4;1;4;2;1;-;1;1;-;14
"26 Pernambuco";-;-;1;2;4;-;-;-;-;-;-;-;7
"27 Alagoas";-;-;-;-;1;1;2;1;-;-;-;1;6
"28 Sergipe";-;-;-;-;-;-;-;-;-;-;-;-;-
"29 Bahia";1;-;-;-;1;-;-;-;-;-;-;-;2
"31 Minas Gerais";1;1;1;1;1;-;-;-;-;-;-;-;5
"32 Espírito Santo";-;-;-;-;-;-;-;-;-;-;-;-;-
"33 Rio de Janeiro";-;-;3;2;2;2;-;-;1;-;3;10;23
"35 São Paulo";1;4;7;5;3;1;1;-;-;-;-;-;22
"41 Paraná";-;-;1;3;-;-;-;-;-;-;-;-;4
"42 Santa Catarina";-;-;-;-;-;-;-;-;-;-;-;-;-
"43 Rio Grande do Sul";-;-;-;-;-;-;-;-;-;-;-;-;-
"50 Mato Grosso do Sul";6;1;3;2;-;-;-;-;1;-;-;-;13
"51 Mato Grosso";1;1;-;2;-;-;-;-;-;-;-;-;4
"52 Goiás";4;1;2;-;-;1;1;-;1;-;1;-;11
"53 Distrito Federal";-;-;1;-;1;-;-;-;-;-;-;-;2
"00 Ignorado/exterior";-;-;-;-;-;-;-;-;-;-;-;-;-
"Total";20;14;29;36;49;29;12;6;6;3;9;18;231
&
