"UF de notificação";"Jan";"Fev";"Mar";"Abr";"Mai";"Jun";"Jul";"Ago";"Set";"Out";"Nov";"Dez";"Total"
"11 Rondônia";-;1;-;-;-;-;-;-;2;-;1;-;4
"12 Acre";-;-;-;-;-;-;-;-;-;-;-;-;-
"13 Amazonas";-;-;-;-;-;-;-;-;-;-;-;-;-
"14 Roraima";-;1;-;-;-;-;-;-;-;-;-;-;1
"15 Pará";-;-;-;-;-;-;-;-;-;-;1;-;1
"16 Amapá";-;-;-;-;-;-;-;-;-;-;-;-;-
"17 Tocantins";1;-;-;-;-;-;-;-;-;-;-;-;1
"21 Maranhão";-;1;2;-;1;1;1;-;-;1;-;-;7
"22 Piauí";-;-;-;-;-;-;-;-;-;-;-;-;-
"23 Ceará";-;-;-;-;-;-;-;-;-;-;-;-;-
"24 Rio Grande do Norte";1;-;2;7;1;-;-;2;1;1;1;1;17
"25 Paraíba";-;-;4;1;1;-;-;-;-;-;-;-;6
"26 Pernambuco";2;8;6;5;1;-;-;-;-;-;-;-;22
"27 Alagoas";-;2;-;1;1;-;-;-;-;-;-;-;4
"28 Sergipe";-;-;2;-;1;-;-;-;-;-;-;-;3
"29 Bahia";-;1;1;-;-;-;-;-;-;-;-;-;2
"31 Minas Gerais";7;11;21;15;10;3;2;-;-;-;-;2;71
"32 Espírito Santo";-;2;2;5;4;1;4;1;2;2;-;6;29
"33 Rio de Janeiro";27;30;15;6;4;2;-;-;-;2;1;2;89
"35 São Paulo";1;6;3;2;3;1;-;-;-;-;-;-;16
"41 Paraná";-;-;-;-;-;-;-;-;-;-;-;-;-
"42 Santa Catarina";-;-;-;-;-;-;-;-;-;-;-;-;-
"43 Rio Grande do Sul";-;-;-;1;-;-;-;-;-;-;-;-;1
"50 Mato Grosso do Sul";1;3;1;-;-;-;-;-;-;-;-;-;5
"51 Mato Grosso";2;-;-;-;-;-;-;-;-;-;1;5;8
"52 Goiás";12;15;4;3;-;-;-;1;-;-;-;1;36
"53 Distrito Federal";-;-;1;-;-;-;-;-;-;-;-;-;1
"00 Ignorado/exterior";-;-;-;-;-;-;-;-;-;-;-;-;-
"Total";54;81;64;46;27;8;7;4;5;6;5;17;324
&
