"pathogen","country","location","dateStart","dateEnd","count","countCumu","source"
"Dengue","Colombia","Amazonas",2015-01-04,2015-01-10,8,8,"C-NIH"
"Dengue","Colombia","Antioquia",2015-01-04,2015-01-10,257,257,"C-NIH"
"Dengue","Colombia","Arauca",2015-01-04,2015-01-10,10,10,"C-NIH"
"Dengue","Colombia","Atlantico",2015-01-04,2015-01-10,99,99,"C-NIH"
"Dengue","Colombia","Bolivar",2015-01-04,2015-01-10,54,54,"C-NIH"
"Dengue","Colombia","Boyaca",2015-01-04,2015-01-10,4,4,"C-NIH"
"Dengue","Colombia","Caldas",2015-01-04,2015-01-10,31,31,"C-NIH"
"Dengue","Colombia","Caqueta",2015-01-04,2015-01-10,18,18,"C-NIH"
"Dengue","Colombia","Casanare",2015-01-04,2015-01-10,40,40,"C-NIH"
"Dengue","Colombia","Cauca",2015-01-04,2015-01-10,17,17,"C-NIH"
"Dengue","Colombia","Cesar",2015-01-04,2015-01-10,82,82,"C-NIH"
"Dengue","Colombia","Choco",2015-01-04,2015-01-10,8,8,"C-NIH"
"Dengue","Colombia","Cordoba",2015-01-04,2015-01-10,52,52,"C-NIH"
"Dengue","Colombia","Cundinamarca",2015-01-04,2015-01-10,135,135,"C-NIH"
"Dengue","Colombia","Guainia",2015-01-04,2015-01-10,0,0,"C-NIH"
"Dengue","Colombia","Guajira",2015-01-04,2015-01-10,23,23,"C-NIH"
"Dengue","Colombia","Guaviare",2015-01-04,2015-01-10,3,3,"C-NIH"
"Dengue","Colombia","Huila",2015-01-04,2015-01-10,148,148,"C-NIH"
"Dengue","Colombia","Magdalena",2015-01-04,2015-01-10,15,15,"C-NIH"
"Dengue","Colombia","Meta",2015-01-04,2015-01-10,148,148,"C-NIH"
"Dengue","Colombia","Narino",2015-01-04,2015-01-10,9,9,"C-NIH"
"Dengue","Colombia","Norte_Santander",2015-01-04,2015-01-10,79,79,"C-NIH"
"Dengue","Colombia","Putumayo",2015-01-04,2015-01-10,56,56,"C-NIH"
"Dengue","Colombia","Quindio",2015-01-04,2015-01-10,152,152,"C-NIH"
"Dengue","Colombia","Risaralda",2015-01-04,2015-01-10,13,13,"C-NIH"
"Dengue","Colombia","San_Andres",2015-01-04,2015-01-10,3,3,"C-NIH"
"Dengue","Colombia","Santander",2015-01-04,2015-01-10,235,235,"C-NIH"
"Dengue","Colombia","Sucre",2015-01-04,2015-01-10,44,44,"C-NIH"
"Dengue","Colombia","Tolima",2015-01-04,2015-01-10,420,420,"C-NIH"
"Dengue","Colombia","Valle",2015-01-04,2015-01-10,354,354,"C-NIH"
"Dengue","Colombia","Vaupes",2015-01-04,2015-01-10,0,0,"C-NIH"
"Dengue","Colombia","Vichada",2015-01-04,2015-01-10,1,1,"C-NIH"
"Dengue","Colombia","Amazonas",2015-01-11,2015-01-17,11,11,"C-NIH"
"Dengue","Colombia","Antioquia",2015-01-11,2015-01-17,178,178,"C-NIH"
"Dengue","Colombia","Arauca",2015-01-11,2015-01-17,8,8,"C-NIH"
"Dengue","Colombia","Atlantico",2015-01-11,2015-01-17,71,71,"C-NIH"
"Dengue","Colombia","Bolivar",2015-01-11,2015-01-17,40,40,"C-NIH"
"Dengue","Colombia","Boyaca",2015-01-11,2015-01-17,2,2,"C-NIH"
"Dengue","Colombia","Caldas",2015-01-11,2015-01-17,21,21,"C-NIH"
"Dengue","Colombia","Caqueta",2015-01-11,2015-01-17,22,22,"C-NIH"
"Dengue","Colombia","Casanare",2015-01-11,2015-01-17,30,30,"C-NIH"
"Dengue","Colombia","Cauca",2015-01-11,2015-01-17,9,9,"C-NIH"
"Dengue","Colombia","Cesar",2015-01-11,2015-01-17,53,53,"C-NIH"
"Dengue","Colombia","Choco",2015-01-11,2015-01-17,1,1,"C-NIH"
"Dengue","Colombia","Cordoba",2015-01-11,2015-01-17,31,31,"C-NIH"
"Dengue","Colombia","Cundinamarca",2015-01-11,2015-01-17,158,158,"C-NIH"
"Dengue","Colombia","Guainia",2015-01-11,2015-01-17,0,0,"C-NIH"
"Dengue","Colombia","Guajira",2015-01-11,2015-01-17,28,28,"C-NIH"
"Dengue","Colombia","Guaviare",2015-01-11,2015-01-17,2,2,"C-NIH"
"Dengue","Colombia","Huila",2015-01-11,2015-01-17,148,148,"C-NIH"
"Dengue","Colombia","Magdalena",2015-01-11,2015-01-17,8,8,"C-NIH"
"Dengue","Colombia","Meta",2015-01-11,2015-01-17,132,132,"C-NIH"
"Dengue","Colombia","Narino",2015-01-11,2015-01-17,6,6,"C-NIH"
"Dengue","Colombia","Norte_Santander",2015-01-11,2015-01-17,72,72,"C-NIH"
"Dengue","Colombia","Putumayo",2015-01-11,2015-01-17,54,54,"C-NIH"
"Dengue","Colombia","Quindio",2015-01-11,2015-01-17,132,132,"C-NIH"
"Dengue","Colombia","Risaralda",2015-01-11,2015-01-17,11,11,"C-NIH"
"Dengue","Colombia","San_Andres",2015-01-11,2015-01-17,3,3,"C-NIH"
"Dengue","Colombia","Santander",2015-01-11,2015-01-17,182,182,"C-NIH"
"Dengue","Colombia","Sucre",2015-01-11,2015-01-17,28,28,"C-NIH"
"Dengue","Colombia","Tolima",2015-01-11,2015-01-17,309,309,"C-NIH"
"Dengue","Colombia","Valle",2015-01-11,2015-01-17,359,359,"C-NIH"
"Dengue","Colombia","Vaupes",2015-01-11,2015-01-17,0,0,"C-NIH"
"Dengue","Colombia","Vichada",2015-01-11,2015-01-17,0,0,"C-NIH"
"Dengue","Colombia","Amazonas",2015-01-18,2015-01-24,16,16,"C-NIH"
"Dengue","Colombia","Antioquia",2015-01-18,2015-01-24,116,116,"C-NIH"
"Dengue","Colombia","Arauca",2015-01-18,2015-01-24,8,8,"C-NIH"
"Dengue","Colombia","Atlantico",2015-01-18,2015-01-24,67,67,"C-NIH"
"Dengue","Colombia","Bolivar",2015-01-18,2015-01-24,30,30,"C-NIH"
"Dengue","Colombia","Boyaca",2015-01-18,2015-01-24,7,7,"C-NIH"
"Dengue","Colombia","Caldas",2015-01-18,2015-01-24,13,13,"C-NIH"
"Dengue","Colombia","Caqueta",2015-01-18,2015-01-24,12,12,"C-NIH"
"Dengue","Colombia","Casanare",2015-01-18,2015-01-24,37,37,"C-NIH"
"Dengue","Colombia","Cauca",2015-01-18,2015-01-24,14,14,"C-NIH"
"Dengue","Colombia","Cesar",2015-01-18,2015-01-24,66,66,"C-NIH"
"Dengue","Colombia","Choco",2015-01-18,2015-01-24,6,6,"C-NIH"
"Dengue","Colombia","Cordoba",2015-01-18,2015-01-24,24,24,"C-NIH"
"Dengue","Colombia","Cundinamarca",2015-01-18,2015-01-24,124,124,"C-NIH"
"Dengue","Colombia","Guainia",2015-01-18,2015-01-24,0,0,"C-NIH"
"Dengue","Colombia","Guajira",2015-01-18,2015-01-24,15,15,"C-NIH"
"Dengue","Colombia","Guaviare",2015-01-18,2015-01-24,10,10,"C-NIH"
"Dengue","Colombia","Huila",2015-01-18,2015-01-24,117,117,"C-NIH"
"Dengue","Colombia","Magdalena",2015-01-18,2015-01-24,15,15,"C-NIH"
"Dengue","Colombia","Meta",2015-01-18,2015-01-24,155,155,"C-NIH"
"Dengue","Colombia","Narino",2015-01-18,2015-01-24,7,7,"C-NIH"
"Dengue","Colombia","Norte_Santander",2015-01-18,2015-01-24,57,57,"C-NIH"
"Dengue","Colombia","Putumayo",2015-01-18,2015-01-24,38,38,"C-NIH"
"Dengue","Colombia","Quindio",2015-01-18,2015-01-24,142,142,"C-NIH"
"Dengue","Colombia","Risaralda",2015-01-18,2015-01-24,9,9,"C-NIH"
"Dengue","Colombia","San_Andres",2015-01-18,2015-01-24,1,1,"C-NIH"
"Dengue","Colombia","Santander",2015-01-18,2015-01-24,178,178,"C-NIH"
"Dengue","Colombia","Sucre",2015-01-18,2015-01-24,42,42,"C-NIH"
"Dengue","Colombia","Tolima",2015-01-18,2015-01-24,287,287,"C-NIH"
"Dengue","Colombia","Valle",2015-01-18,2015-01-24,427,427,"C-NIH"
"Dengue","Colombia","Vaupes",2015-01-18,2015-01-24,0,0,"C-NIH"
"Dengue","Colombia","Vichada",2015-01-18,2015-01-24,1,1,"C-NIH"
"Dengue","Colombia","Amazonas",2015-01-25,2015-01-31,8,8,"C-NIH"
"Dengue","Colombia","Antioquia",2015-01-25,2015-01-31,122,122,"C-NIH"
"Dengue","Colombia","Arauca",2015-01-25,2015-01-31,9,9,"C-NIH"
"Dengue","Colombia","Atlantico",2015-01-25,2015-01-31,53,53,"C-NIH"
"Dengue","Colombia","Bolivar",2015-01-25,2015-01-31,29,29,"C-NIH"
"Dengue","Colombia","Boyaca",2015-01-25,2015-01-31,22,22,"C-NIH"
"Dengue","Colombia","Caldas",2015-01-25,2015-01-31,14,14,"C-NIH"
"Dengue","Colombia","Caqueta",2015-01-25,2015-01-31,14,14,"C-NIH"
"Dengue","Colombia","Casanare",2015-01-25,2015-01-31,54,54,"C-NIH"
"Dengue","Colombia","Cauca",2015-01-25,2015-01-31,13,13,"C-NIH"
"Dengue","Colombia","Cesar",2015-01-25,2015-01-31,37,37,"C-NIH"
"Dengue","Colombia","Choco",2015-01-25,2015-01-31,4,4,"C-NIH"
"Dengue","Colombia","Cordoba",2015-01-25,2015-01-31,29,29,"C-NIH"
