"pathogen","country","location","dateStart","dateEnd","count","countCumu","source"
"Dengue","Colombia","Amazonas",2013-12-29,2014-01-04,4,4,"C-NIH"
"Dengue","Colombia","Antioquia",2013-12-29,2014-01-04,109,109,"C-NIH"
"Dengue","Colombia","Arauca",2013-12-29,2014-01-04,16,16,"C-NIH"
"Dengue","Colombia","Atlantico",2013-12-29,2014-01-04,310,310,"C-NIH"
"Dengue","Colombia","Bogota",2013-12-29,2014-01-04,12,12,"C-NIH"
"Dengue","Colombia","Bolivar",2013-12-29,2014-01-04,127,127,"C-NIH"
"Dengue","Colombia","Boyaca",2013-12-29,2014-01-04,9,9,"C-NIH"
"Dengue","Colombia","Caldas",2013-12-29,2014-01-04,15,15,"C-NIH"
"Dengue","Colombia","Caqueta",2013-12-29,2014-01-04,5,5,"C-NIH"
"Dengue","Colombia","Casanare",2013-12-29,2014-01-04,18,18,"C-NIH"
"Dengue","Colombia","Cauca",2013-12-29,2014-01-04,3,3,"C-NIH"
"Dengue","Colombia","Cesar",2013-12-29,2014-01-04,78,78,"C-NIH"
"Dengue","Colombia","Choco",2013-12-29,2014-01-04,2,2,"C-NIH"
"Dengue","Colombia","Cordoba",2013-12-29,2014-01-04,113,113,"C-NIH"
"Dengue","Colombia","Cundinamarca",2013-12-29,2014-01-04,73,73,"C-NIH"
"Dengue","Colombia","Guainia",2013-12-29,2014-01-04,5,5,"C-NIH"
"Dengue","Colombia","Guajira",2013-12-29,2014-01-04,75,75,"C-NIH"
"Dengue","Colombia","Guaviare",2013-12-29,2014-01-04,7,7,"C-NIH"
"Dengue","Colombia","Huila",2013-12-29,2014-01-04,161,161,"C-NIH"
"Dengue","Colombia","Magdalena",2013-12-29,2014-01-04,62,62,"C-NIH"
"Dengue","Colombia","Meta",2013-12-29,2014-01-04,94,94,"C-NIH"
"Dengue","Colombia","Narino",2013-12-29,2014-01-04,11,11,"C-NIH"
"Dengue","Colombia","Norte_Santander",2013-12-29,2014-01-04,181,181,"C-NIH"
"Dengue","Colombia","Putumayo",2013-12-29,2014-01-04,60,60,"C-NIH"
"Dengue","Colombia","Quindio",2013-12-29,2014-01-04,108,108,"C-NIH"
"Dengue","Colombia","Risaralda",2013-12-29,2014-01-04,17,17,"C-NIH"
"Dengue","Colombia","San_Andres",2013-12-29,2014-01-04,0,0,"C-NIH"
"Dengue","Colombia","Santander",2013-12-29,2014-01-04,238,238,"C-NIH"
"Dengue","Colombia","Sucre",2013-12-29,2014-01-04,125,125,"C-NIH"
"Dengue","Colombia","Tolima",2013-12-29,2014-01-04,178,178,"C-NIH"
"Dengue","Colombia","Valle",2013-12-29,2014-01-04,250,250,"C-NIH"
"Dengue","Colombia","Vaupes",2013-12-29,2014-01-04,0,0,"C-NIH"
"Dengue","Colombia","Vichada",2013-12-29,2014-01-04,0,0,"C-NIH"
"Dengue","Colombia","Amazonas",2014-01-05,2014-01-11,6,6,"C-NIH"
"Dengue","Colombia","Antioquia",2014-01-05,2014-01-11,129,129,"C-NIH"
"Dengue","Colombia","Arauca",2014-01-05,2014-01-11,15,15,"C-NIH"
"Dengue","Colombia","Atlantico",2014-01-05,2014-01-11,280,280,"C-NIH"
"Dengue","Colombia","Bogota",2014-01-05,2014-01-11,13,13,"C-NIH"
"Dengue","Colombia","Bolivar",2014-01-05,2014-01-11,125,125,"C-NIH"
