"report_date","location","location_type","data_field","data_field_code","time_period","time_period_type","probable_value","severe_value","alarm_value","deathsevere_value","deathalarm_value","unit"
,"Brazil-Rondonia","state","dengue_reported","NA","NA","NA",2563,1,2,1,0,"cases"
,"Brazil-Acre","state","dengue_reported","NA","NA","NA",3050,0,1,0,0,"cases"
,"Brazil-Amazonas","state","dengue_reported","NA","NA","NA",6200,2,8,1,1,"cases"
,"Brazil-Roraima","state","dengue_reported","NA","NA","NA",446,0,1,0,0,"cases"
,"Brazil-Para","state","dengue_reported","NA","NA","NA",3973,0,1,0,0,"cases"
,"Brazil-Amapa","state","dengue_reported","NA","NA","NA",373,0,0,0,0,"cases"
,"Brazil-Tocantins","state","dengue_reported","NA","NA","NA",5694,0,15,0,0,"cases"
,"Brazil-Maranhao","state","dengue_reported","NA","NA","NA",1251,2,15,2,0,"cases"
,"Brazil-Piaui","state","dengue_reported","NA","NA","NA",1949,5,6,0,0,"cases"
,"Brazil-Ceara","state","dengue_reported","NA","NA","NA",10437,4,32,4,0,"cases"
,"Brazil-Rio_Grande_do_Norte","state","dengue_reported","NA","NA","NA",3973,0,13,0,0,"cases"
,"Brazil-Paraiba","state","dengue_reported","NA","NA","NA",2707,2,5,2,0,"cases"
,"Brazil-Pernambuco","state","dengue_reported","NA","NA","NA",3018,1,0,1,0,"cases"
,"Brazil-Alagoas","state","dengue_reported","NA","NA","NA",2864,2,9,0,0,"cases"
,"Brazil-Sergipe","state","dengue_reported","NA","NA","NA",931,1,4,1,0,"cases"
,"Brazil-Bahia","state","dengue_reported","NA","NA","NA",8495,10,34,5,0,"cases"
,"Brazil-Minas_Gerais","state","dengue_reported","NA","NA","NA",54349,16,205,16,0,"cases"
,"Brazil-Espirito_Santo","state","dengue_reported","NA","NA","NA",12659,6,121,2,0,"cases"
,"Brazil-Rio_de_Janeiro","state","dengue_reported","NA","NA","NA",6686,4,21,5,2,"cases"
,"Brazil-Sao_Paulo","state","dengue_reported","NA","NA","NA",151707,60,1394,29,0,"cases"
,"Brazil-Parana","state","dengue_reported","NA","NA","NA",30534,7,71,4,0,"cases"
,"Brazil-Santa_Catarina","state","dengue_reported","NA","NA","NA",272,0,0,0,0,"cases"
,"Brazil-Rio_Grande_do_Sul","state","dengue_reported","NA","NA","NA",485,0,0,0,0,"cases"
,"Brazil-Mato_Grosso_do_Sul","state","dengue_reported","NA","NA","NA",5243,3,14,3,0,"cases"
,"Brazil-Mato_Grosso","state","dengue_reported","NA","NA","NA",6086,2,9,4,1,"cases"
,"Brazil-Goias","state","dengue_reported","NA","NA","NA",61141,33,310,15,0,"cases"
,"Brazil-Distrito_Federal","state","dengue_reported","NA","NA","NA",7528,15,11,5,0,"cases"
