report_date,location,location_type,data_field,data_field_code,time_period,time_period_type,probable_value,severe_value,alarm_value,unit
,Brazil-Rondonia,state,dengue_reported,NA,NA,NA,340,0,0,cases
,Brazil-Acre,state,dengue_reported,NA,NA,NA,316,0,0,cases
,Brazil-Amazonas,state,dengue_reported,NA,NA,NA,538,0,0,cases
,Brazil-Roraima,state,dengue_reported,NA,NA,NA,50,0,0,cases
,Brazil-Para,state,dengue_reported,NA,NA,NA,536,0,0,cases
,Brazil-Amapa,state,dengue_reported,NA,NA,NA,47,0,0,cases
,Brazil-Tocantins,state,dengue_reported,NA,NA,NA,546,0,0,cases
,Brazil-Maranhao,state,dengue_reported,NA,NA,NA,189,0,0,cases
,Brazil-Piaui,state,dengue_reported,NA,NA,NA,30,0,0,cases
,Brazil-Ceara,state,dengue_reported,NA,NA,NA,1587,0,2,cases
,Brazil-Rio_Grande_do_Norte,state,dengue_reported,NA,NA,NA,109,0,0,cases
,Brazil-Paraiba,state,dengue_reported,NA,NA,NA,56,0,0,cases
,Brazil-Pernambuco,state,dengue_reported,NA,NA,NA,354,0,0,cases
,Brazil-Alagoas,state,dengue_reported,NA,NA,NA,71,0,0,cases
,Brazil-Sergipe,state,dengue_reported,NA,NA,NA,45,0,0,cases
,Brazil-Bahia,state,dengue_reported,NA,NA,NA,1355,0,0,cases
,Brazil-Minas_Gerais,state,dengue_reported,NA,NA,NA,4628,0,5,cases
,Brazil-Espirito_Santo,state,dengue_reported,NA,NA,NA,818,0,5,cases
,Brazil-Rio_de_Janeiro,state,dengue_reported,NA,NA,NA,742,0,3,cases
,Brazil-Sao_Paulo,state,dengue_reported,NA,NA,NA,2833,0,5,cases
,Brazil-Parana,state,dengue_reported,NA,NA,NA,2038,0,0,cases
,Brazil-Santa_Catarina,state,dengue_reported,NA,NA,NA,178,0,0,cases
,Brazil-Rio_Grande_do_Sul,state,dengue_reported,NA,NA,NA,191,0,0,cases
,Brazil-Mato_Grosso_do_Sul,state,dengue_reported,NA,NA,NA,300,0,0,cases
,Brazil-Mato_Grosso,state,dengue_reported,NA,NA,NA,598,0,0,cases
,Brazil-Goias,state,dengue_reported,NA,NA,NA,2554,4,55,cases
,Brazil-Distrito_Federal,state,dengue_reported,NA,NA,NA,125,0,2,cases
