report_date,location,location_type,data_field,data_field_code,time_period,time_period_type,probable_value,severe_value,alarm_value,death_value,unit
,Brazil-Rondonia,state,dengue_reported,NA,NA,NA,2195,5,11,3,cases
,Brazil-Acre,state,dengue_reported,NA,NA,NA,5819,0,2,0,cases
,Brazil-Amazonas,state,dengue_reported,NA,NA,NA,4131,2,10,2,cases
,Brazil-Roraima,state,dengue_reported,NA,NA,NA,1089,0,10,0,cases
,Brazil-Para,state,dengue_reported,NA,NA,NA,8811,12,33,5,cases
,Brazil-Amapa,state,dengue_reported,NA,NA,NA,3167,16,31,2,cases
,Brazil-Tocantins,state,dengue_reported,NA,NA,NA,8898,8,18,5,cases
,Brazil-Maranhao,state,dengue_reported,NA,NA,NA,7505,25,44,9,cases
,Brazil-Piaui,state,dengue_reported,NA,NA,NA,7619,19,42,2,cases
,Brazil-Ceara,state,dengue_reported,NA,NA,NA,63521,119,664,66,cases
,Brazil-Rio_Grande_do_Norte,state,dengue_reported,NA,NA,NA,22503,6,46,4,cases
,Brazil-Paraiba,state,dengue_reported,NA,NA,NA,21771,10,75,5,cases
,Brazil-Pernambuco,state,dengue_reported,NA,NA,NA,102721,26,74,23,cases
,Brazil-Alagoas,state,dengue_reported,NA,NA,NA,23873,14,94,3,cases
,Brazil-Sergipe,state,dengue_reported,NA,NA,NA,8460,5,2,2,cases
,Brazil-Bahia,state,dengue_reported,NA,NA,NA,53546,28,36,12,cases
,Brazil-Minas_Gerais,state,dengue_reported,NA,NA,NA,189378,123,984,69,cases
,Brazil-Espirito_Santo,state,dengue_reported,NA,NA,NA,34699,65,602,15,cases
,Brazil-Rio_de_Janeiro,state,dengue_reported,NA,NA,NA,68659,50,340,25,cases
,Brazil-Sao_Paulo,state,dengue_reported,NA,NA,NA,733490,625,13074,454,cases
,Brazil-Parana,state,dengue_reported,NA,NA,NA,49726,95,393,25,cases
,Brazil-Santa_Catarina,state,dengue_reported,NA,NA,NA,4669,1,112,0,cases
,Brazil-Rio_Grande_do_Sul,state,dengue_reported,NA,NA,NA,1792,2,9,2,cases
,Brazil-Mato_Grosso_do_Sul,state,dengue_reported,NA,NA,NA,27989,11,220,15,cases
,Brazil-Mato_Grosso,state,dengue_reported,NA,NA,NA,20223,14,41,7,cases
,Brazil-Goias,state,dengue_reported,NA,NA,NA,163117,262,3287,86,cases
,Brazil-Distrito_Federal,state,dengue_reported,NA,NA,NA,9637,26,75,22,cases
