report_date,location,location_type,data_field,data_field_code,time_period,time_period_type,probable_value,severe_value,alarm_value,death_value,unit
,Brazil-Rondonia,state,dengue_reported,NA,NA,NA,2371,4,1,0,cases
,Brazil-Acre,state,dengue_reported,NA,NA,NA,1777,0,0,0,cases
,Brazil-Amazonas,state,dengue_reported,NA,NA,NA,3963,4,11,3,cases
,Brazil-Roraima,state,dengue_reported,NA,NA,NA,313,0,1,0,cases
,Brazil-Para,state,dengue_reported,NA,NA,NA,7697,1,8,0,cases
,Brazil-Amapa,state,dengue_reported,NA,NA,NA,858,1,8,1,cases
,Brazil-Tocantins,state,dengue_reported,NA,NA,NA,5094,2,99,2,cases
,Brazil-Maranhao,state,dengue_reported,NA,NA,NA,7010,13,40,4,cases
,Brazil-Piaui,state,dengue_reported,NA,NA,NA,5115,2,9,0,cases
,Brazil-Ceara,state,dengue_reported,NA,NA,NA,41093,26,91,19,cases
,Brazil-Rio_Grande_do_Norte,state,dengue_reported,NA,NA,NA,7035,6,13,1,cases
,Brazil-Paraiba,state,dengue_reported,NA,NA,NA,3607,2,15,2,cases
,Brazil-Pernambuco,state,dengue_reported,NA,NA,NA,9019,14,37,4,cases
,Brazil-Alagoas,state,dengue_reported,NA,NA,NA,2834,2,12,3,cases
,Brazil-Sergipe,state,dengue_reported,NA,NA,NA,599,0,1,1,cases
,Brazil-Bahia,state,dengue_reported,NA,NA,NA,9628,3,14,1,cases
,Brazil-Minas_Gerais,state,dengue_reported,NA,NA,NA,28044,21,117,14,cases
,Brazil-Espirito_Santo,state,dengue_reported,NA,NA,NA,6743,16,92,7,cases
,Brazil-Rio_de_Janeiro,state,dengue_reported,NA,NA,NA,10173,4,75,4,cases
,Brazil-Sao_Paulo,state,dengue_reported,NA,NA,NA,12817,16,64,4,cases
,Brazil-Parana,state,dengue_reported,NA,NA,NA,4061,2,8,0,cases
,Brazil-Santa_Catarina,state,dengue_reported,NA,NA,NA,247,0,0,0,cases
,Brazil-Rio_Grande_do_Sul,state,dengue_reported,NA,NA,NA,198,1,0,0,cases
,Brazil-Mato_Grosso_do_Sul,state,dengue_reported,NA,NA,NA,1858,3,29,3,cases
,Brazil-Mato_Grosso,state,dengue_reported,NA,NA,NA,8785,3,15,4,cases
,Brazil-Goias,state,dengue_reported,NA,NA,NA,62433,96,1701,41,cases
,Brazil-Distrito_Federal,state,dengue_reported,NA,NA,NA,4050,19,83,12,cases
