report_date,location,location_type,data_field,data_field_code,time_period,time_period_type,probable_value,severe_value,alarm_value,death_value,unit
,Brazil-Rondonia,state,dengue_reported,NA,NA,NA,893,0,0,0,cases
,Brazil-Acre,state,dengue_reported,NA,NA,NA,5494,0,1,0,cases
,Brazil-Amazonas,state,dengue_reported,NA,NA,NA,1286,0,1,0,cases
,Brazil-Roraima,state,dengue_reported,NA,NA,NA,219,0,1,0,cases
,Brazil-Para,state,dengue_reported,NA,NA,NA,1443,0,2,0,cases
,Brazil-Amapa,state,dengue_reported,NA,NA,NA,630,0,0,0,cases
,Brazil-Tocantins,state,dengue_reported,NA,NA,NA,2036,1,0,0,cases
,Brazil-Maranhao,state,dengue_reported,NA,NA,NA,916,0,4,0,cases
,Brazil-Piaui,state,dengue_reported,NA,NA,NA,480,0,2,0,cases
,Brazil-Ceara,state,dengue_reported,NA,NA,NA,5074,5,36,1,cases
,Brazil-Rio_Grande_do_Norte,state,dengue_reported,NA,NA,NA,3100,0,4,0,cases
,Brazil-Paraiba,state,dengue_reported,NA,NA,NA,848,0,2,0,cases
,Brazil-Pernambuco,state,dengue_reported,NA,NA,NA,4631,1,2,0,cases
,Brazil-Alagoas,state,dengue_reported,NA,NA,NA,1772,0,4,0,cases
,Brazil-Sergipe,state,dengue_reported,NA,NA,NA,895,1,0,1,cases
,Brazil-Bahia,state,dengue_reported,NA,NA,NA,3756,1,0,0,cases
,Brazil-Minas_Gerais,state,dengue_reported,NA,NA,NA,13690,3,36,1,cases
,Brazil-Espirito_Santo,state,dengue_reported,NA,NA,NA,1899,4,17,2,cases
,Brazil-Rio_de_Janeiro,state,dengue_reported,NA,NA,NA,5693,10,11,3,cases
,Brazil-Sao_Paulo,state,dengue_reported,NA,NA,NA,123738,58,681,35,cases
,Brazil-Parana,state,dengue_reported,NA,NA,NA,10134,2,40,1,cases
,Brazil-Santa_Catarina,state,dengue_reported,NA,NA,NA,1156,0,1,0,cases
,Brazil-Rio_Grande_do_Sul,state,dengue_reported,NA,NA,NA,193,0,0,0,cases
,Brazil-Mato_Grosso_do_Sul,state,dengue_reported,NA,NA,NA,4573,2,3,2,cases
,Brazil-Mato_Grosso,state,dengue_reported,NA,NA,NA,2134,0,0,0,cases
,Brazil-Goias,state,dengue_reported,NA,NA,NA,26158,12,63,5,cases
,Brazil-Distrito_Federal,state,dengue_reported,NA,NA,NA,1260,2,2,1,cases
