report_date,location,location_type,data_field,data_field_code,time_period,time_period_type,probable_value,severe_value,alarm_value,death_value,unit
,Brazil-Rondonia,state,dengue_reported,NA,NA,NA,1855,1,0,1,cases
,Brazil-Acre,state,dengue_reported,NA,NA,NA,1180,0,0,0,cases
,Brazil-Amazonas,state,dengue_reported,NA,NA,NA,965,0,0,0,cases
,Brazil-Roraima,state,dengue_reported,NA,NA,NA,49,0,0,0,cases
,Brazil-Para,state,dengue_reported,NA,NA,NA,1166,0,4,0,cases
,Brazil-Amapa,state,dengue_reported,NA,NA,NA,55,0,2,0,cases
,Brazil-Tocantins,state,dengue_reported,NA,NA,NA,3765,0,0,0,cases
,Brazil-Maranhao,state,dengue_reported,NA,NA,NA,1961,0,8,0,cases
,Brazil-Piaui,state,dengue_reported,NA,NA,NA,122,0,0,0,cases
,Brazil-Ceara,state,dengue_reported,NA,NA,NA,1655,0,4,0,cases
,Brazil-Rio_Grande_do_Norte,state,dengue_reported,NA,NA,NA,3076,0,0,0,cases
,Brazil-Paraiba,state,dengue_reported,NA,NA,NA,2892,0,0,0,cases
,Brazil-Pernambuco,state,dengue_reported,NA,NA,NA,10059,0,4,0,cases
,Brazil-Alagoas,state,dengue_reported,NA,NA,NA,1005,0,1,0,cases
,Brazil-Sergipe,state,dengue_reported,NA,NA,NA,527,0,0,0,cases
,Brazil-Bahia,state,dengue_reported,NA,NA,NA,4339,0,0,0,cases
,Brazil-Minas_Gerais,state,dengue_reported,NA,NA,NA,48098,7,64,0,cases
,Brazil-Espirito_Santo,state,dengue_reported,NA,NA,NA,8063,2,25,0,cases
,Brazil-Rio_de_Janeiro,state,dengue_reported,NA,NA,NA,8050,2,8,0,cases
,Brazil-Sao_Paulo,state,dengue_reported,NA,NA,NA,32453,2,32,1,cases
,Brazil-Parana,state,dengue_reported,NA,NA,NA,12255,6,60,4,cases
,Brazil-Santa_Catarina,state,dengue_reported,NA,NA,NA,806,0,0,0,cases
,Brazil-Rio_Grande_do_Sul,state,dengue_reported,NA,NA,NA,461,0,0,0,cases
,Brazil-Mato_Grosso_do_Sul,state,dengue_reported,NA,NA,NA,7554,2,3,2,cases
,Brazil-Mato_Grosso,state,dengue_reported,NA,NA,NA,5229,1,6,0,cases
,Brazil-Goias,state,dengue_reported,NA,NA,NA,10918,2,226,0,cases
,Brazil-Distrito_Federal,state,dengue_reported,NA,NA,NA,1545,2,35,1,cases
