report_date,location,location_type,data_field,data_field_code,time_period,time_period_type,probable_value,severe_value,alarm_value,death_value,unit
,Brazil-Rondonia,state,dengue_reported,NA,NA,NA,305,0,1,0,cases
,Brazil-Acre,state,dengue_reported,NA,NA,NA,1437,0,0,0,cases
,Brazil-Amazonas,state,dengue_reported,NA,NA,NA,707,0,0,0,cases
,Brazil-Roraima,state,dengue_reported,NA,NA,NA,53,0,0,0,cases
,Brazil-Para,state,dengue_reported,NA,NA,NA,1089,0,1,0,cases
,Brazil-Amapa,state,dengue_reported,NA,NA,NA,115,0,1,0,cases
,Brazil-Tocantins,state,dengue_reported,NA,NA,NA,609,0,13,0,cases
,Brazil-Maranhao,state,dengue_reported,NA,NA,NA,325,1,3,0,cases
,Brazil-Piaui,state,dengue_reported,NA,NA,NA,240,0,1,0,cases
,Brazil-Ceara,state,dengue_reported,NA,NA,NA,1302,1,2,2,cases
,Brazil-Rio_Grande_do_Norte,state,dengue_reported,NA,NA,NA,1107,0,3,0,cases
,Brazil-Paraiba,state,dengue_reported,NA,NA,NA,552,0,0,1,cases
,Brazil-Pernambuco,state,dengue_reported,NA,NA,NA,1173,0,7,0,cases
,Brazil-Alagoas,state,dengue_reported,NA,NA,NA,291,0,2,0,cases
,Brazil-Sergipe,state,dengue_reported,NA,NA,NA,38,0,0,0,cases
,Brazil-Bahia,state,dengue_reported,NA,NA,NA,1055,0,0,0,cases
,Brazil-Minas_Gerais,state,dengue_reported,NA,NA,NA,6623,2,7,0,cases
,Brazil-Espirito_Santo,state,dengue_reported,NA,NA,NA,897,1,17,0,cases
,Brazil-Rio_de_Janeiro,state,dengue_reported,NA,NA,NA,2159,1,10,0,cases
,Brazil-Sao_Paulo,state,dengue_reported,NA,NA,NA,6690,3,10,0,cases
,Brazil-Parana,state,dengue_reported,NA,NA,NA,2107,0,3,0,cases
,Brazil-Santa_Catarina,state,dengue_reported,NA,NA,NA,91,0,0,0,cases
,Brazil-Rio_Grande_do_Sul,state,dengue_reported,NA,NA,NA,94,0,0,0,cases
,Brazil-Mato_Grosso_do_Sul,state,dengue_reported,NA,NA,NA,703,0,3,0,cases
,Brazil-Mato_Grosso,state,dengue_reported,NA,NA,NA,2283,0,2,1,cases
,Brazil-Goias,state,dengue_reported,NA,NA,NA,12486,11,194,2,cases
,Brazil-Distrito_Federal,state,dengue_reported,NA,NA,NA,384,0,0,0,cases
