report_date,location,location_type,data_field,data_field_code,time_period,time_period_type,probable_value,severe_value,alarm_value,death_value,unit
,Brazil-Rondonia,state,dengue_reported,NA,NA,NA,412,0,0,0,cases
,Brazil-Acre,state,dengue_reported,NA,NA,NA,3332,0,0,0,cases
,Brazil-Amazonas,state,dengue_reported,NA,NA,NA,511,0,0,0,cases
,Brazil-Roraima,state,dengue_reported,NA,NA,NA,88,0,1,0,cases
,Brazil-Para,state,dengue_reported,NA,NA,NA,376,0,0,0,cases
,Brazil-Amapa,state,dengue_reported,NA,NA,NA,191,0,0,0,cases
,Brazil-Tocantins,state,dengue_reported,NA,NA,NA,707,0,0,0,cases
,Brazil-Maranhao,state,dengue_reported,NA,NA,NA,318,0,2,0,cases
,Brazil-Piaui,state,dengue_reported,NA,NA,NA,163,0,1,0,cases
,Brazil-Ceara,state,dengue_reported,NA,NA,NA,1814,0,7,0,cases
,Brazil-Rio_Grande_do_Norte,state,dengue_reported,NA,NA,NA,947,0,0,0,cases
,Brazil-Paraiba,state,dengue_reported,NA,NA,NA,231,0,0,0,cases
,Brazil-Pernambuco,state,dengue_reported,NA,NA,NA,1164,0,1,0,cases
,Brazil-Alagoas,state,dengue_reported,NA,NA,NA,534,0,1,0,cases
,Brazil-Sergipe,state,dengue_reported,NA,NA,NA,339,0,0,0,cases
,Brazil-Bahia,state,dengue_reported,NA,NA,NA,909,1,0,1,cases
,Brazil-Minas_Gerais,state,dengue_reported,NA,NA,NA,4490,0,5,0,cases
,Brazil-Espirito_Santo,state,dengue_reported,NA,NA,NA,1006,2,6,1,cases
,Brazil-Rio_de_Janeiro,state,dengue_reported,NA,NA,NA,2268,1,6,1,cases
,Brazil-Sao_Paulo,state,dengue_reported,NA,NA,NA,30507,17,122,8,cases
,Brazil-Parana,state,dengue_reported,NA,NA,NA,3288,0,12,0,cases
,Brazil-Santa_Catarina,state,dengue_reported,NA,NA,NA,257,0,1,0,cases
,Brazil-Rio_Grande_do_Sul,state,dengue_reported,NA,NA,NA,82,0,0,0,cases
,Brazil-Mato_Grosso_do_Sul,state,dengue_reported,NA,NA,NA,1724,0,1,0,cases
,Brazil-Mato_Grosso,state,dengue_reported,NA,NA,NA,734,0,0,0,cases
,Brazil-Goias,state,dengue_reported,NA,NA,NA,10246,1,6,0,cases
,Brazil-Distrito_Federal,state,dengue_reported,NA,NA,NA,368,0,1,0,cases
