"report_date","location","location_type","data_field","data_field_code","time_period","time_period_type","probable_value","severe_value","alarm_value","death_value","unit"
,"Brazil-Rondonia","state","dengue_reported","NA","NA","NA",4708,1,1,1,"cases"
,"Brazil-Acre","state","dengue_reported","NA","NA","NA",3332,0,0,0,"cases"
,"Brazil-Amazonas","state","dengue_reported","NA","NA","NA",2800,0,1,0,"cases"
,"Brazil-Roraima","state","dengue_reported","NA","NA","NA",51,0,0,0,"cases"
,"Brazil-Para","state","dengue_reported","NA","NA","NA",3653,1,7,0,"cases"
,"Brazil-Amapa","state","dengue_reported","NA","NA","NA",298,0,2,1,"cases"
,"Brazil-Tocantins","state","dengue_reported","NA","NA","NA",8410,0,1,0,"cases"
,"Brazil-Maranhao","state","dengue_reported","NA","NA","NA",6015,2,12,3,"cases"
,"Brazil-Piaui","state","dengue_reported","NA","NA","NA",462,0,0,0,"cases"
,"Brazil-Ceara","state","dengue_reported","NA","NA","NA",5723,2,7,1,"cases"
,"Brazil-Rio_Grande_do_Norte","state","dengue_reported","NA","NA","NA",15943,0,1,0,"cases"
,"Brazil-Paraiba","state","dengue_reported","NA","NA","NA",10476,0,3,0,"cases"
,"Brazil-Pernambuco","state","dengue_reported","NA","NA","NA",29558,1,6,2,"cases"
,"Brazil-Alagoas","state","dengue_reported","NA","NA","NA",3161,1,3,0,"cases"
,"Brazil-Sergipe","state","dengue_reported","NA","NA","NA",1448,0,0,0,"cases"
,"Brazil-Bahia","state","dengue_reported","NA","NA","NA",19363,2,1,2,"cases"
,"Brazil-Minas_Gerais","state","dengue_reported","NA","NA","NA",161844,33,266,11,"cases"
,"Brazil-Espirito_Santo","state","dengue_reported","NA","NA","NA",18216,3,41,1,"cases"
,"Brazil-Rio_de_Janeiro","state","dengue_reported","NA","NA","NA",20795,5,19,3,"cases"
,"Brazil-Sao_Paulo","state","dengue_reported","NA","NA","NA",79263,16,141,14,"cases"
,"Brazil-Parana","state","dengue_reported","NA","NA","NA",33253,22,213,9,"cases"
,"Brazil-Santa_Catarina","state","dengue_reported","NA","NA","NA",2444,0,5,0,"cases"
,"Brazil-Rio_Grande_do_Sul","state","dengue_reported","NA","NA","NA",1235,1,0,0,"cases"
,"Brazil-Mato_Grosso_do_Sul","state","dengue_reported","NA","NA","NA",15751,7,17,8,"cases"
,"Brazil-Mato_Grosso","state","dengue_reported","NA","NA","NA",11738,1,14,0,"cases"
,"Brazil-Goias","state","dengue_reported","NA","NA","NA",29897,17,619,7,"cases"
,"Brazil-Distrito_Federal","state","dengue_reported","NA","NA","NA",5429,9,86,4,"cases"
