report_date,location,location_type,data_field,data_field_code,time_period,time_period_type,probable_value,severe_value,alarm_value,severealarm_value,death_value,unit
,Brazil-Rondonia,state,dengue_reported,NA,NA,NA,1954,3,2,0,1,cases
,Brazil-Acre,state,dengue_reported,NA,NA,NA,7818,0,3,0,0,cases
,Brazil-Amazonas,state,dengue_reported,NA,NA,NA,2493,0,2,0,0,cases
,Brazil-Roraima,state,dengue_reported,NA,NA,NA,404,0,1,0,0,cases
,Brazil-Para,state,dengue_reported,NA,NA,NA,4086,2,9,0,0,cases
,Brazil-Amapa,state,dengue_reported,NA,NA,NA,1543,8,6,0,0,cases
,Brazil-Tocantins,state,dengue_reported,NA,NA,NA,5691,2,3,2,0,cases
,Brazil-Maranhao,state,dengue_reported,NA,NA,NA,3359,1,12,10,0,cases
,Brazil-Piaui,state,dengue_reported,NA,NA,NA,2016,0,10,2,0,cases
,Brazil-Ceara,state,dengue_reported,NA,NA,NA,15190,13,93,34,3,cases
,Brazil-Rio_Grande_do_Norte,state,dengue_reported,NA,NA,NA,9981,1,8,1,1,cases
,Brazil-Paraiba,state,dengue_reported,NA,NA,NA,4055,0,4,22,1,cases
,Brazil-Pernambuco,state,dengue_reported,NA,NA,NA,18830,1,6,3,0,cases
,Brazil-Alagoas,state,dengue_reported,NA,NA,NA,3477,0,18,0,0,cases
,Brazil-Sergipe,state,dengue_reported,NA,NA,NA,2261,1,1,0,0,cases
,Brazil-Bahia,state,dengue_reported,NA,NA,NA,16342,2,4,4,1,cases
,Brazil-Minas_Gerais,state,dengue_reported,NA,NA,NA,47157,13,150,6,6,cases
,Brazil-Espirito_Santo,state,dengue_reported,NA,NA,NA,3940,8,41,21,4,cases
,Brazil-Rio_de_Janeiro,state,dengue_reported,NA,NA,NA,18398,16,55,4,5,cases
,Brazil-Sao_Paulo,state,dengue_reported,NA,NA,NA,345221,194,3510,36,142,cases
,Brazil-Parana,state,dengue_reported,NA,NA,NA,32783,12,98,0,6,cases
,Brazil-Santa_Catarina,state,dengue_reported,NA,NA,NA,3400,0,29,0,0,cases
,Brazil-Rio_Grande_do_Sul,state,dengue_reported,NA,NA,NA,1216,1,1,0,1,cases
,Brazil-Mato_Grosso_do_Sul,state,dengue_reported,NA,NA,NA,9964,3,25,0,2,cases
,Brazil-Mato_Grosso,state,dengue_reported,NA,NA,NA,5335,3,1,0,1,cases
,Brazil-Goias,state,dengue_reported,NA,NA,NA,56339,46,261,34,8,cases
,Brazil-Distrito_Federal,state,dengue_reported,NA,NA,NA,2878,3,7,0,3,cases
