report_date,location,location_type,data_field,data_field_code,time_period,time_period_type,probable_value,severe_value,alarm_value,death_value,unit
,Brazil-Rondonia,state,dengue_reported,NA,NA,NA,545,0,1,0,cases
,Brazil-Acre,state,dengue_reported,NA,NA,NA,2402,1,3,0,cases
,Brazil-Amazonas,state,dengue_reported,NA,NA,NA,1801,2,2,2,cases
,Brazil-Roraima,state,dengue_reported,NA,NA,NA,141,0,1,0,cases
,Brazil-Para,state,dengue_reported,NA,NA,NA,3886,1,3,0,cases
,Brazil-Amapa,state,dengue_reported,NA,NA,NA,553,0,7,0,cases
,Brazil-Tocantins,state,dengue_reported,NA,NA,NA,2068,4,31,0,cases
,Brazil-Maranhao,state,dengue_reported,NA,NA,NA,1745,3,23,3,cases
,Brazil-Piaui,state,dengue_reported,NA,NA,NA,1235,1,1,1,cases
,Brazil-Ceara,state,dengue_reported,NA,NA,NA,4476,10,7,9,cases
,Brazil-Rio_Grande_do_Norte,state,dengue_reported,NA,NA,NA,14745,14,229,1,cases
,Brazil-Paraiba,state,dengue_reported,NA,NA,NA,8309,8,105,6,cases
,Brazil-Pernambuco,state,dengue_reported,NA,NA,NA,9207,6,44,1,cases
,Brazil-Alagoas,state,dengue_reported,NA,NA,NA,1283,2,20,0,cases
,Brazil-Sergipe,state,dengue_reported,NA,NA,NA,168,1,2,0,cases
,Brazil-Bahia,state,dengue_reported,NA,NA,NA,6667,2,15,3,cases
,Brazil-Minas_Gerais,state,dengue_reported,NA,NA,NA,22906,15,98,5,cases
,Brazil-Espirito_Santo,state,dengue_reported,NA,NA,NA,6169,9,85,2,cases
,Brazil-Rio_de_Janeiro,state,dengue_reported,NA,NA,NA,11672,4,32,0,cases
,Brazil-Sao_Paulo,state,dengue_reported,NA,NA,NA,12855,8,33,6,cases
,Brazil-Parana,state,dengue_reported,NA,NA,NA,1886,3,14,2,cases
,Brazil-Santa_Catarina,state,dengue_reported,NA,NA,NA,198,0,0,0,cases
,Brazil-Rio_Grande_do_Sul,state,dengue_reported,NA,NA,NA,103,0,1,0,cases
,Brazil-Mato_Grosso_do_Sul,state,dengue_reported,NA,NA,NA,1970,0,4,0,cases
,Brazil-Mato_Grosso,state,dengue_reported,NA,NA,NA,5943,3,9,2,cases
,Brazil-Goias,state,dengue_reported,NA,NA,NA,57380,74,1213,36,cases
,Brazil-Distrito_Federal,state,dengue_reported,NA,NA,NA,1494,3,4,1,cases
