"report_date","location","location_type","data_field","data_field_code","time_period","time_period_type","probable_value","severe_value","alarm_value","deathsevere_value","deathalarm_value","unit"
,"Brazil-Rondonia","state","dengue_reported","NA","NA","NA",1981,0,0,0,0,"cases"
,"Brazil-Acre","state","dengue_reported","NA","NA","NA",2087,0,1,0,0,"cases"
,"Brazil-Amazonas","state","dengue_reported","NA","NA","NA",4510,2,5,1,0,"cases"
,"Brazil-Roraima","state","dengue_reported","NA","NA","NA",339,0,0,0,0,"cases"
,"Brazil-Para","state","dengue_reported","NA","NA","NA",1907,0,1,0,0,"cases"
,"Brazil-Amapa","state","dengue_reported","NA","NA","NA",122,0,0,0,0,"cases"
,"Brazil-Tocantins","state","dengue_reported","NA","NA","NA",4623,0,6,0,0,"cases"
,"Brazil-Maranhao","state","dengue_reported","NA","NA","NA",729,0,11,2,0,"cases"
,"Brazil-Piaui","state","dengue_reported","NA","NA","NA",924,2,2,0,0,"cases"
,"Brazil-Ceara","state","dengue_reported","NA","NA","NA",6475,1,13,1,0,"cases"
,"Brazil-Rio_Grande_do_Norte","state","dengue_reported","NA","NA","NA",2308,0,7,0,0,"cases"
,"Brazil-Paraiba","state","dengue_reported","NA","NA","NA",1199,2,3,2,0,"cases"
,"Brazil-Pernambuco","state","dengue_reported","NA","NA","NA",1399,0,0,0,0,"cases"
,"Brazil-Alagoas","state","dengue_reported","NA","NA","NA",1733,0,3,0,0,"cases"
,"Brazil-Sergipe","state","dengue_reported","NA","NA","NA",473,0,2,0,0,"cases"
,"Brazil-Bahia","state","dengue_reported","NA","NA","NA",4449,3,19,2,0,"cases"
,"Brazil-Minas_Gerais","state","dengue_reported","NA","NA","NA",32137,9,102,7,0,"cases"
,"Brazil-Espirito_Santo","state","dengue_reported","NA","NA","NA",9152,2,85,2,0,"cases"
,"Brazil-Rio_de_Janeiro","state","dengue_reported","NA","NA","NA",5167,4,15,2,1,"cases"
,"Brazil-Sao_Paulo","state","dengue_reported","NA","NA","NA",63387,26,267,8,0,"cases"
,"Brazil-Parana","state","dengue_reported","NA","NA","NA",18667,2,34,1,0,"cases"
,"Brazil-Santa_Catarina","state","dengue_reported","NA","NA","NA",191,0,0,0,0,"cases"
,"Brazil-Rio_Grande_do_Sul","state","dengue_reported","NA","NA","NA",410,0,0,0,0,"cases"
,"Brazil-Mato_Grosso_do_Sul","state","dengue_reported","NA","NA","NA",3500,3,12,2,0,"cases"
,"Brazil-Mato_Grosso","state","dengue_reported","NA","NA","NA",4260,2,2,2,0,"cases"
,"Brazil-Goias","state","dengue_reported","NA","NA","NA",38508,22,249,11,0,"cases"
,"Brazil-Distrito_Federal","state","dengue_reported","NA","NA","NA",4532,9,9,3,0,"cases"
