"report_date","location","location_type","value_lab","value_clinical","value_suspicious","unit"
NA,"Colombia-Valle","province",19,3259,0,"cases"
NA,"Colombia-Santander","province",16,1750,21,"cases"
NA,"Colombia-Tolima","province",12,1443,20,"cases"
NA,"Colombia-Cundinamarca","province",14,1136,28,"cases"
NA,"Colombia-Risaralda","province",0,1102,1,"cases"
NA,"Colombia-Meta","province",5,1007,0,"cases"
NA,"Colombia-Huila","province",4,916,0,"cases"
NA,"Colombia-Antioquia","province",16,663,11,"cases"
NA,"Colombia-Barranquilla","province",1,687,0,"cases"
NA,"Colombia-Putumayo","province",6,501,0,"cases"
NA,"Colombia-Caqueta","province",3,492,3,"cases"
NA,"Colombia-Quindio","province",2,417,0,"cases"
NA,"Colombia-Cordoba","province",2,373,0,"cases"
NA,"Colombia-Cauca","province",3,281,2,"cases"
NA,"Colombia-Arauca","province",2,200,0,"cases"
NA,"Colombia-Casanare","province",0,194,0,"cases"
NA,"Colombia-Boyaca","province",0,175,17,"cases"
NA,"Colombia-Norte_Santander","province",1,143,7,"cases"
NA,"Colombia-Guaviare","province",0,130,1,"cases"
NA,"Colombia-Cesar","province",1,126,0,"cases"
NA,"Colombia-Sucre","province",0,115,0,"cases"
NA,"Colombia-Caldas","province",0,110,4,"cases"
NA,"Colombia-Santa_Marta","province",4,92,0,"cases"
NA,"Colombia-Atlantico","province",0,86,0,"cases"
NA,"Colombia-Narino","province",1,33,23,"cases"
NA,"Colombia-Bolivar","province",1,29,0,"cases"
NA,"Colombia-Guainia","province",1,26,0,"cases"
NA,"Colombia-Vichada","province",1,24,0,"cases"
NA,"Colombia-Buenaventura","province",0,24,0,"cases"
NA,"Colombia-Cartagena","province",0,22,0,"cases"
NA,"Colombia-Amazonas","province",0,17,3,"cases"
NA,"Colombia-Exterior","province",1,0,17,"cases"
NA,"Colombia-Magdalena","province",0,14,0,"cases"
NA,"Colombia-Guajira","province",0,14,0,"cases"
NA,"Colombia-Choco","province",2,8,1,"cases"
NA,"Colombia-Vaupes","province",0,9,0,"cases"
NA,"Colombia-San_Andres","province",0,6,2,"cases"
