"report_date","location","location_type","value_lab","value_clinical","value_suspicious","unit"
NA,"Colombia-Valle","province",23,3983,0,"cases"
NA,"Colombia-Santander","province",21,2171,35,"cases"
NA,"Colombia-Tolima","province",15,1555,20,"cases"
NA,"Colombia-Risaralda","province",3,1448,1,"cases"
NA,"Colombia-Cundinamarca","province",18,1208,30,"cases"
NA,"Colombia-Meta","province",7,1147,0,"cases"
NA,"Colombia-Huila","province",5,964,0,"cases"
NA,"Colombia-Antioquia","province",19,820,12,"cases"
NA,"Colombia-Barranquilla","province",1,693,0,"cases"
NA,"Colombia-Putumayo","province",7,584,0,"cases"
NA,"Colombia-Quindio","province",2,566,0,"cases"
NA,"Colombia-Caqueta","province",4,554,3,"cases"
NA,"Colombia-Cordoba","province",2,404,0,"cases"
NA,"Colombia-Cauca","province",6,356,3,"cases"
NA,"Colombia-Casanare","province",0,257,0,"cases"
NA,"Colombia-Arauca","province",1,238,0,"cases"
NA,"Colombia-Boyaca","province",0,194,20,"cases"
NA,"Colombia-Norte_Santander","province",1,173,7,"cases"
NA,"Colombia-Guaviare","province",0,176,1,"cases"
NA,"Colombia-Caldas","province",0,135,2,"cases"
NA,"Colombia-Cesar","province",1,132,0,"cases"
NA,"Colombia-Sucre","province",0,118,0,"cases"
NA,"Colombia-Santa_Marta","province",4,98,0,"cases"
NA,"Colombia-Atlantico","province",0,99,0,"cases"
NA,"Colombia-Narino","province",1,37,29,"cases"
NA,"Colombia-Bolivar","province",0,36,0,"cases"
NA,"Colombia-Vichada","province",3,29,0,"cases"
NA,"Colombia-Cartagena","province",0,32,0,"cases"
NA,"Colombia-Guainia","province",1,25,0,"cases"
NA,"Colombia-Buenaventura","province",0,26,0,"cases"
NA,"Colombia-San_Andres","province",0,20,3,"cases"
NA,"Colombia-Amazonas","province",0,16,6,"cases"
NA,"Colombia-Choco","province",2,10,5,"cases"
NA,"Colombia-Magdalena","province",0,16,0,"cases"
NA,"Colombia-Guajira","province",0,16,0,"cases"
NA,"Colombia-Vaupes","province",0,11,0,"cases"
NA,"Colombia-Exterior","province",1,0,25,"cases"
