"report_date","location","location_type","value_lab","value_clinical","value_suspicious","unit"
NA,"Colombia-Amazonas","province",1,9,4,"cases"
NA,"Colombia-Caqueta","province",5,1798,385,"cases"
NA,"Colombia-Guainia","province",0,0,11,"cases"
NA,"Colombia-Guaviare","province",0,0,250,"cases"
NA,"Colombia-Vaupes","province",0,0,1,"cases"
NA,"Colombia-Putumayo","province",2,102,3,"cases"
NA,"Colombia-Antioquia","province",30,9180,797,"cases"
NA,"Colombia-Bogota","province",0,0,191,"cases"
NA,"Colombia-Caldas","province",7,2264,28,"cases"
NA,"Colombia-Cundinamarca","province",30,13349,132,"cases"
NA,"Colombia-Huila","province",24,24111,98,"cases"
NA,"Colombia-Quindio","province",0,643,2,"cases"
NA,"Colombia-Risaralda","province",4,427,1,"cases"
NA,"Colombia-Tolima","province",12,29723,744,"cases"
NA,"Colombia-Boyaca","province",5,470,29,"cases"
NA,"Colombia-Norte_Santander","province",18,5510,150,"cases"
NA,"Colombia-Santander","province",3,3725,77,"cases"
NA,"Colombia-Arauca","province",0,2261,634,"cases"
NA,"Colombia-Casanare","province",1,6031,437,"cases"
NA,"Colombia-Meta","province",8,5150,410,"cases"
NA,"Colombia-Vichada","province",0,0,28,"cases"
NA,"Colombia-Cauca","province",1,505,1426,"cases"
NA,"Colombia-Choco","province",2,21,364,"cases"
NA,"Colombia-Narino","province",0,807,34,"cases"
NA,"Colombia-Valle","province",33,49863,12,"cases"
NA,"Colombia-Atlantico","province",0,1511,14,"cases"
NA,"Colombia-Barranquilla","province",0,4016,0,"cases"
NA,"Colombia-Bolivar","province",1,426,0,"cases"
NA,"Colombia-Cartagena","province",0,347,0,"cases"
NA,"Colombia-Cesar","province",6,2645,10,"cases"
NA,"Colombia-Cordoba","province",2,11778,11,"cases"
NA,"Colombia-Guajira","province",1,4402,18,"cases"
NA,"Colombia-Magdalena","province",0,1723,8,"cases"
NA,"Colombia-San_Andres","province",0,523,4,"cases"
NA,"Colombia-Santa_Marta","province",3,1538,0,"cases"
NA,"Colombia-Sucre","province",0,6179,0,"cases"
