"report_date","location","location_type","value_lab","value_clinical","value_suspicious","unit"
NA,"Colombia-Amazonas","province",4,12,4,"cases"
NA,"Colombia-Caqueta","province",28,6315,82,"cases"
NA,"Colombia-Guainia","province",18,57,1,"cases"
NA,"Colombia-Guaviare","province",28,1578,0,"cases"
NA,"Colombia-Vaupes","province",2,2,1,"cases"
NA,"Colombia-Putumayo","province",6,459,0,"cases"
NA,"Colombia-Antioquia","province",34,13724,172,"cases"
NA,"Colombia-Bogota","province",1,0,261,"cases"
NA,"Colombia-Caldas","province",21,2782,33,"cases"
NA,"Colombia-Cundinamarca","province",175,16413,48,"cases"
NA,"Colombia-Huila","province",149,27836,0,"cases"
NA,"Colombia-Quindio","province",0,4761,0,"cases"
NA,"Colombia-Risaralda","province",18,2881,0,"cases"
NA,"Colombia-Tolima","province",192,38726,10,"cases"
NA,"Colombia-Boyaca","province",53,648,39,"cases"
NA,"Colombia-Norte_Santander","province",46,6014,17,"cases"
NA,"Colombia-Santander","province",14,9450,91,"cases"
NA,"Colombia-Arauca","province",10,5379,0,"cases"
NA,"Colombia-Casanare","province",50,15337,0,"cases"
NA,"Colombia-Meta","province",68,18612,104,"cases"
NA,"Colombia-Vichada","province",24,225,0,"cases"
NA,"Colombia-Cauca","province",29,3576,56,"cases"
NA,"Colombia-Choco","province",19,872,70,"cases"
NA,"Colombia-Narino","province",36,1108,40,"cases"
NA,"Colombia-Valle","province",90,112395,0,"cases"
NA,"Colombia-Atlantico","province",0,1727,0,"cases"
NA,"Colombia-Barranquilla","province",0,5072,0,"cases"
NA,"Colombia-Bolivar","province",1,531,0,"cases"
NA,"Colombia-Cartagena","province",0,449,0,"cases"
NA,"Colombia-Cesar","province",13,3653,0,"cases"
NA,"Colombia-Cordoba","province",5,12501,0,"cases"
NA,"Colombia-Guajira","province",10,4474,0,"cases"
NA,"Colombia-Magdalena","province",2,2337,0,"cases"
NA,"Colombia-San_Andres","province",1,937,5,"cases"
NA,"Colombia-Santa_Marta","province",4,1607,0,"cases"
NA,"Colombia-Sucre","province",5,6726,0,"cases"
