"report_date","location","location_type","value_lab","value_clinical","value_suspicious","unit"
NA,"Colombia-Valle","province",1,1231,0,"cases"
NA,"Colombia-Tolima","province",10,1044,16,"cases"
NA,"Colombia-Cundinamarca","province",9,747,20,"cases"
NA,"Colombia-Santander","province",0,566,4,"cases"
NA,"Colombia-Huila","province",4,553,7,"cases"
NA,"Colombia-Meta","province",2,397,0,"cases"
NA,"Colombia-Antioquia","province",5,388,2,"cases"
NA,"Colombia-Barranquilla","province",0,374,0,"cases"
NA,"Colombia-Caqueta","province",0,312,1,"cases"
NA,"Colombia-Risaralda","province",0,267,0,"cases"
NA,"Colombia-Quindio","province",1,191,0,"cases"
NA,"Colombia-Putumayo","province",2,184,0,"cases"
NA,"Colombia-Norte_Santander","province",0,112,5,"cases"
NA,"Colombia-Cordoba","province",1,110,0,"cases"
NA,"Colombia-Sucre","province",0,97,0,"cases"
NA,"Colombia-Cesar","province",1,94,0,"cases"
NA,"Colombia-Cauca","province",2,92,0,"cases"
NA,"Colombia-Boyaca","province",0,75,8,"cases"
NA,"Colombia-Atlantico","province",0,70,0,"cases"
NA,"Colombia-Caldas","province",0,59,8,"cases"
NA,"Colombia-Arauca","province",1,56,0,"cases"
NA,"Colombia-Casanare","province",0,41,0,"cases"
NA,"Colombia-Santa_Marta","province",2,25,0,"cases"
NA,"Colombia-Narino","province",1,10,16,"cases"
NA,"Colombia-Bolivar","province",0,24,0,"cases"
NA,"Colombia-Bogota","province",0,0,16,"cases"
NA,"Colombia-Guainia","province",1,11,0,"cases"
NA,"Colombia-Guaviare","province",0,12,0,"cases"
NA,"Colombia-Cartagena","province",0,11,0,"cases"
NA,"Colombia-Buenaventura","province",0,11,0,"cases"
NA,"Colombia-Vichada","province",0,10,0,"cases"
NA,"Colombia-Magdalena","province",0,9,0,"cases"
NA,"Colombia-Guajira","province",0,8,0,"cases"
NA,"Colombia-Choco","province",2,5,0,"cases"
NA,"Colombia-Exterior","province",1,0,5,"cases"
NA,"Colombia-Amazonas","province",0,4,1,"cases"
NA,"Colombia-Vaupes","province",0,4,0,"cases"
NA,"Colombia-San_Andres","province",0,3,0,"cases"
