"report_date","location","location_type","value_lab","value_clinical","value_suspicious","unit"
NA,"Colombia-Valle","province",0,18,0,"cases"
NA,"Colombia-Tolima","province",0,16,0,"cases"
NA,"Colombia-Huila","province",0,13,0,"cases"
NA,"Colombia-Cundinamarca","province",0,11,1,"cases"
NA,"Colombia-Santander","province",0,6,1,"cases"
NA,"Colombia-Meta","province",0,7,0,"cases"
NA,"Colombia-Antioquia","province",0,5,1,"cases"
NA,"Colombia-Putumayo","province",1,3,0,"cases"
NA,"Colombia-Risaralda","province",0,3,0,"cases"
NA,"Colombia-Caqueta","province",1,2,0,"cases"
NA,"Colombia-Boyaca","province",0,0,3,"cases"
NA,"Colombia-Cesar","province",0,2,0,"cases"
NA,"Colombia-Atlantico","province",0,2,0,"cases"
NA,"Colombia-Casanare","province",0,2,0,"cases"
NA,"Colombia-Quindio","province",0,1,0,"cases"
NA,"Colombia-Cauca","province",0,1,0,"cases"
NA,"Colombia-Vaupes","province",0,0,1,"cases"
NA,"Colombia-Barranquilla","province",0,1,0,"cases"
NA,"Colombia-Guaviare","province",0,1,0,"cases"
NA,"Colombia-Bolivar","province",0,1,0,"cases"
NA,"Colombia-Cartagena","province",0,1,0,"cases"
NA,"Colombia-Choco","province",0,0,1,"cases"
