"report_date","location","location_type","value_lab","value_clinical","value_suspicious","unit"
NA,"Colombia-Amazonas","province",5,9,4,"cases"
NA,"Colombia-Caqueta","province",32,6529,69,"cases"
NA,"Colombia-Guainia","province",18,57,2,"cases"
NA,"Colombia-Guaviare","province",28,1750,0,"cases"
NA,"Colombia-Vaupes","province",2,3,1,"cases"
NA,"Colombia-Putumayo","province",11,607,0,"cases"
NA,"Colombia-Antioquia","province",34,14364,128,"cases"
NA,"Colombia-Bogota","province",1,0,105,"cases"
NA,"Colombia-Caldas","province",23,2928,14,"cases"
NA,"Colombia-Cundinamarca","province",204,16898,39,"cases"
NA,"Colombia-Huila","province",157,28244,0,"cases"
NA,"Colombia-Quindio","province",0,5416,0,"cases"
NA,"Colombia-Risaralda","province",26,4542,0,"cases"
NA,"Colombia-Tolima","province",220,39348,28,"cases"
NA,"Colombia-Boyaca","province",55,700,30,"cases"
NA,"Colombia-Norte_Santander","province",50,6071,5,"cases"
NA,"Colombia-Santander","province",19,10784,84,"cases"
NA,"Colombia-Arauca","province",19,5435,0,"cases"
NA,"Colombia-Casanare","province",71,15501,0,"cases"
NA,"Colombia-Meta","province",72,19422,71,"cases"
NA,"Colombia-Vichada","province",24,254,0,"cases"
NA,"Colombia-Cauca","province",31,3663,50,"cases"
NA,"Colombia-Choco","province",19,915,68,"cases"
NA,"Colombia-Narino","province",36,1748,38,"cases"
NA,"Colombia-Valle","province",781,114330,0,"cases"
NA,"Colombia-Atlantico","province",0,1751,0,"cases"
NA,"Colombia-Barranquilla","province",0,5422,0,"cases"
NA,"Colombia-Bolivar","province",1,562,0,"cases"
NA,"Colombia-Cartagena","province",0,455,0,"cases"
NA,"Colombia-Cesar","province",13,3686,0,"cases"
NA,"Colombia-Cordoba","province",7,12533,0,"cases"
NA,"Colombia-Guajira","province",10,4469,0,"cases"
NA,"Colombia-Magdalena","province",2,2424,0,"cases"
NA,"Colombia-San_Andres","province",1,1144,0,"cases"
NA,"Colombia-Santa_Marta","province",5,1596,0,"cases"
NA,"Colombia-Sucre","province",6,6791,0,"cases"
