"report_date","location","location_type","value_lab","value_clinical","value_suspicious","unit"
NA,"Colombia-Valle","province",15,2684,0,"cases"
NA,"Colombia-Santander","province",6,1391,19,"cases"
NA,"Colombia-Tolima","province",12,1335,20,"cases"
NA,"Colombia-Cundinamarca","province",15,1040,25,"cases"
NA,"Colombia-Meta","province",3,889,0,"cases"
NA,"Colombia-Risaralda","province",0,858,0,"cases"
NA,"Colombia-Huila","province",5,796,0,"cases"
NA,"Colombia-Antioquia","province",10,582,10,"cases"
NA,"Colombia-Caqueta","province",1,468,3,"cases"
NA,"Colombia-Putumayo","province",2,433,0,"cases"
NA,"Colombia-Barranquilla","province",1,396,0,"cases"
NA,"Colombia-Quindio","province",2,339,0,"cases"
NA,"Colombia-Cauca","province",2,240,2,"cases"
NA,"Colombia-Cordoba","province",2,235,0,"cases"
NA,"Colombia-Boyaca","province",0,156,15,"cases"
NA,"Colombia-Arauca","province",0,147,0,"cases"
NA,"Colombia-Norte_Santander","province",0,126,7,"cases"
NA,"Colombia-Cesar","province",1,121,0,"cases"
NA,"Colombia-Casanare","province",0,120,0,"cases"
NA,"Colombia-Sucre","province",0,111,0,"cases"
NA,"Colombia-Caldas","province",1,91,3,"cases"
NA,"Colombia-Atlantico","province",0,82,0,"cases"
NA,"Colombia-Guaviare","province",0,70,1,"cases"
NA,"Colombia-Narino","province",1,27,23,"cases"
NA,"Colombia-Santa_Marta","province",3,33,0,"cases"
NA,"Colombia-Bolivar","province",0,29,0,"cases"
NA,"Colombia-Guainia","province",1,26,0,"cases"
NA,"Colombia-Buenaventura","province",0,21,0,"cases"
NA,"Colombia-Vichada","province",1,19,0,"cases"
NA,"Colombia-Cartagena","province",0,19,0,"cases"
NA,"Colombia-Amazonas","province",0,13,2,"cases"
NA,"Colombia-Magdalena","province",0,14,0,"cases"
NA,"Colombia-Exterior","province",1,0,12,"cases"
NA,"Colombia-Choco","province",2,7,1,"cases"
NA,"Colombia-Guajira","province",0,9,0,"cases"
NA,"Colombia-Vaupes","province",0,8,0,"cases"
NA,"Colombia-San_Andres","province",0,6,2,"cases"
NA,NA,"province",1,0,0,"cases"
