"report_date","location","location_type","value_lab","value_clinical","value_suspicious","unit"
NA,"Colombia-Amazonas","province",5,9,5,"cases"
NA,"Colombia-Caqueta","province",32,6494,72,"cases"
NA,"Colombia-Guainia","province",18,57,2,"cases"
NA,"Colombia-Guaviare","province",28,1730,0,"cases"
NA,"Colombia-Vaupes","province",2,3,1,"cases"
NA,"Colombia-Putumayo","province",11,589,0,"cases"
NA,"Colombia-Antioquia","province",34,14220,128,"cases"
NA,"Colombia-Bogota","province",1,0,162,"cases"
NA,"Colombia-Caldas","province",23,2913,18,"cases"
NA,"Colombia-Cundinamarca","province",204,16772,39,"cases"
NA,"Colombia-Huila","province",157,28191,0,"cases"
NA,"Colombia-Quindio","province",0,5343,0,"cases"
NA,"Colombia-Risaralda","province",25,4422,0,"cases"
NA,"Colombia-Tolima","province",220,39320,28,"cases"
NA,"Colombia-Boyaca","province",55,694,30,"cases"
NA,"Colombia-Norte_Santander","province",50,6067,5,"cases"
NA,"Colombia-Santander","province",19,10614,84,"cases"
NA,"Colombia-Arauca","province",19,5429,0,"cases"
NA,"Colombia-Casanare","province",71,15488,0,"cases"
NA,"Colombia-Meta","province",72,19280,71,"cases"
NA,"Colombia-Vichada","province",24,251,0,"cases"
NA,"Colombia-Cauca","province",31,3656,50,"cases"
NA,"Colombia-Choco","province",19,903,68,"cases"
NA,"Colombia-Narino","province",36,1746,37,"cases"
NA,"Colombia-Valle","province",781,114120,0,"cases"
NA,"Colombia-Atlantico","province",0,1751,0,"cases"
NA,"Colombia-Barranquilla","province",0,5407,0,"cases"
NA,"Colombia-Bolivar","province",1,548,0,"cases"
NA,"Colombia-Cartagena","province",0,445,0,"cases"
NA,"Colombia-Cesar","province",13,3682,0,"cases"
NA,"Colombia-Cordoba","province",7,12526,0,"cases"
NA,"Colombia-Guajira","province",10,4469,0,"cases"
NA,"Colombia-Magdalena","province",2,2402,0,"cases"
NA,"Colombia-San_Andres","province",1,1105,0,"cases"
NA,"Colombia-Santa_Marta","province",5,1593,0,"cases"
NA,"Colombia-Sucre","province",6,6767,0,"cases"
