"report_date","location","location_type","value_lab","value_clinical","value_suspicious","unit"
NA,"Colombia-Valle","province",35,4055,0,"cases"
NA,"Colombia-Santander","province",21,2230,38,"cases"
NA,"Colombia-Tolima","province",18,1602,20,"cases"
NA,"Colombia-Risaralda","province",4,1528,1,"cases"
NA,"Colombia-Cundinamarca","province",18,1230,27,"cases"
NA,"Colombia-Meta","province",10,1185,0,"cases"
NA,"Colombia-Huila","province",7,983,0,"cases"
NA,"Colombia-Antioquia","province",22,864,22,"cases"
NA,"Colombia-Barranquilla","province",1,701,0,"cases"
NA,"Colombia-Caqueta","province",6,620,3,"cases"
NA,"Colombia-Putumayo","province",10,608,0,"cases"
NA,"Colombia-Quindio","province",3,587,0,"cases"
NA,"Colombia-Cordoba","province",2,407,0,"cases"
NA,"Colombia-Cauca","province",6,371,4,"cases"
NA,"Colombia-Casanare","province",3,266,0,"cases"
NA,"Colombia-Arauca","province",2,248,0,"cases"
NA,"Colombia-Boyaca","province",1,203,20,"cases"
NA,"Colombia-Norte_Santander","province",2,177,9,"cases"
NA,"Colombia-Guaviare","province",2,181,1,"cases"
NA,"Colombia-Caldas","province",0,143,3,"cases"
NA,"Colombia-Cesar","province",1,133,0,"cases"
NA,"Colombia-Sucre","province",0,119,0,"cases"
NA,"Colombia-Santa_Marta","province",5,106,0,"cases"
NA,"Colombia-Atlantico","province",0,101,0,"cases"
NA,"Colombia-Narino","province",2,40,34,"cases"
NA,"Colombia-Bolivar","province",0,38,0,"cases"
NA,"Colombia-Cartagena","province",0,36,0,"cases"
NA,"Colombia-Vichada","province",4,29,0,"cases"
NA,"Colombia-Buenaventura","province",0,28,0,"cases"
NA,"Colombia-Guainia","province",1,26,0,"cases"
NA,"Colombia-San_Andres","province",0,21,3,"cases"
NA,"Colombia-Amazonas","province",0,18,5,"cases"
NA,"Colombia-Choco","province",2,11,8,"cases"
NA,"Colombia-Magdalena","province",0,21,0,"cases"
NA,"Colombia-Bogota","province",1,0,16,"cases"
NA,"Colombia-Guajira","province",0,16,0,"cases"
NA,"Colombia-Exterior","province",2,0,26,"cases"
