"report_date","location","location_type","value_lab","value_clinical","value_suspicious","unit"
NA,"Colombia-Amazonas","province",3,6,4,"cases"
NA,"Colombia-Caqueta","province",26,5967,118,"cases"
NA,"Colombia-Guainia","province",14,57,1,"cases"
NA,"Colombia-Guaviare","province",26,1367,0,"cases"
NA,"Colombia-Vaupes","province",0,0,3,"cases"
NA,"Colombia-Putumayo","province",5,444,0,"cases"
NA,"Colombia-Antioquia","province",33,12886,110,"cases"
NA,"Colombia-Bogota","province",1,0,213,"cases"
NA,"Colombia-Caldas","province",17,2594,39,"cases"
NA,"Colombia-Cundinamarca","province",139,15653,39,"cases"
NA,"Colombia-Huila","province",108,27273,0,"cases"
NA,"Colombia-Quindio","province",0,3551,0,"cases"
NA,"Colombia-Risaralda","province",10,2396,0,"cases"
NA,"Colombia-Tolima","province",143,36872,11,"cases"
NA,"Colombia-Boyaca","province",43,558,38,"cases"
NA,"Colombia-Norte_Santander","province",40,5935,21,"cases"
NA,"Colombia-Santander","province",10,8186,72,"cases"
NA,"Colombia-Arauca","province",5,5069,0,"cases"
NA,"Colombia-Casanare","province",29,14677,1,"cases"
NA,"Colombia-Meta","province",58,17839,97,"cases"
NA,"Colombia-Vichada","province",24,147,0,"cases"
NA,"Colombia-Cauca","province",27,3308,116,"cases"
NA,"Colombia-Choco","province",13,687,118,"cases"
NA,"Colombia-Narino","province",30,1102,33,"cases"
NA,"Colombia-Valle","province",69,106748,0,"cases"
NA,"Colombia-Atlantico","province",0,1679,0,"cases"
NA,"Colombia-Barranquilla","province",0,4772,0,"cases"
NA,"Colombia-Bolivar","province",1,507,0,"cases"
NA,"Colombia-Cartagena","province",0,386,0,"cases"
NA,"Colombia-Cesar","province",12,3605,0,"cases"
NA,"Colombia-Cordoba","province",5,12382,0,"cases"
NA,"Colombia-Guajira","province",8,4461,0,"cases"
NA,"Colombia-Magdalena","province",1,2028,0,"cases"
NA,"Colombia-San_Andres","province",1,625,3,"cases"
NA,"Colombia-Santa_Marta","province",4,1570,0,"cases"
NA,"Colombia-Sucre","province",5,6626,0,"cases"
